startdate	enddate	ipaddress	duration	experience	theory_ht	theory_anova	theory_reg	theory_fa	pract_ht	pract_anova	pract_reg	pract_fa	overall_knowledge	multi_1	multi_2	multi_3	multi_4	overall_100	prior_SPSS	prior_R	prior_Stata	prior_Excel	prior_SAS	software_preference	future_importance	gender	country	group	lat	long
04.09.2017 22:41	04.09.2017 22:44	178.115.131.225	230	1	2	2	2	2	4	3	3	3	2	2	3	4	4	60	2	1	1	5	1	1	5	2	1	2	48.19999695	16.36669922
04.09.2017 23:00	04.09.2017 23:04	62.178.118.68	202	1	2	2	2	2	3	4	2	2	2	2	2	2	5	10	2	1	1	4	1	2	2	2	1	2	48.20869446	16.2407074
04.09.2017 23:02	04.09.2017 23:05	62.46.39.117	185	1	2	2	2	2	3	2	2	2	2	2	1	1	4	30	2	1	1	3	1	1	4	2	1	1	48.19599915	16.31829834
04.09.2017 23:32	04.09.2017 23:36	92.231.231.64	250	2	2	2	3	1	4	3	4	2	2	2	2	3	4	45	2	1	1	4	1	5	5	1	2	2	52.51669312	13.3999939
04.09.2017 23:34	04.09.2017 23:39	77.119.129.58	290	4	2	3	2	2	3	4	4	3	2	2	2	1	4	30	1	1	1	3	1	5	4	1	2	2	48.20869446	16.2407074
04.09.2017 23:39	04.09.2017 23:44	80.110.92.227	261	1	3	3	2	2	3	3	3	3	2	3	3	2	4	40	3	1	1	3	1	1	4	2	1	1	48.18649292	16.35490417
04.09.2017 23:42	04.09.2017 23:54	93.44.84.39	700	1	1	2	1	1	1	2	1	1	2	1	1	1	4	30	1	1	1	2	1	5	5	2	2	1	44.49380493	11.33869934
05.09.2017 00:27	05.09.2017 00:30	121.102.95.180	149	3	2	3	2	2	3	4	3	3	2	4	3	3	3	45	4	3	1	3	1	1	2	2	2	2	35.6427002	139.7677002
05.09.2017 01:03	05.09.2017 01:05	89.104.11.34	107	3	5	5	5	4	4	4	4	4	2	5	5	5	1	35	1	1	1	4	1	2	5	1	1	1	47.31669617	16.25
05.09.2017 06:31	05.09.2017 06:34	80.109.54.154	174	1	2	2	2	2	3	2	2	2	1	2	2	1	5	65	2	1	1	3	1	1	3	2	1	2	48.19999695	16.3500061
05.09.2017 07:28	05.09.2017 07:32	82.218.163.42	256	1	2	2	2	1	3	3	3	1	2	2	2	2	4	30	2	1	1	1	1	1	4	2	1	1	48.44999695	15.6000061
05.09.2017 09:28	05.09.2017 09:31	88.128.80.105	174	1	3	3	2	2	3	3	3	3	4	3	3	2	2	50	1	1	1	4	1	5	3	2	1	2	51.29930115	9.490997314
05.09.2017 10:11	05.09.2017 10:16	213.225.0.210	268	1	1	1	1	1	1	1	1	1	2	1	2	2	4	20	1	1	1	2	1	5	2	2	1	1	48.19999695	16.36669922
05.09.2017 10:58	05.09.2017 11:08	90.110.104.106	596	4	3	3	2	4	3	3	3	4	2	3	3	2	4	45	1	3	1	4	1	5	4	2	2	1	50.35710144	3.527893066
05.09.2017 11:09	05.09.2017 11:11	213.225.8.16	127	1	2	2	2	1	3	3	3	3	2	2	2	2	4	30	2	1	1	2	1	5	3	1	1	2	48.19999695	16.36669922
05.09.2017 14:06	05.09.2017 14:08	62.46.232.14	178	1	4	4	1	4	5	5	2	5	2	3	4	4	2	50	5	1	1	4	1	1	3	2	1	2	48.30000305	14.30000305
05.09.2017 15:51	05.09.2017 15:58	80.110.104.238	389	3	3	3	2	2	4	4	3	3	2	4	4	4	2	60	1	1	1	4	1	5	4	2	2	2	48.20770264	16.37049866
05.09.2017 18:38	05.09.2017 18:41	178.190.73.145	189	1	2	2	2	2	3	3	2	2	2	4	2	1	3	40	2	1	1	4	1	5	4	1	1	1	48.19810486	16.39480591
05.09.2017 18:42	05.09.2017 18:44	91.141.0.1	142	1	3	3	3	2	5	4	3	2	2	4	4	4	2	65	3	1	1	4	1	1	3	1	1	1	48.19999695	16.36669922
05.09.2017 18:53	05.09.2017 18:59	46.125.250.96	339	2	2	2	2	1	4	4	4	2	4	4	4	3	2	50	3	1	1	3	1	1	3	1	1	2	48.20869446	16.2407074
05.09.2017 21:40	05.09.2017 21:44	91.130.18.28	288	1	2	3	3	2	3	4	4	3	2	3	3	3	3	60	1	2	1	4	1	1	4	2	1	2	48.19999695	16.36669922
06.09.2017 00:51	06.09.2017 00:56	89.114.165.108	252	1	4	4	3	2	5	4	4	3	3	3	2	2	4	65	2	1	1	4	1	5	4	1	2	1	38.71670532	-9.133300781
06.09.2017 01:20	06.09.2017 01:23	176.14.96.19	156	1	4	4	3	1	5	5	5	3	3	4	5	4	2	75	3	1	1	3	1	1	4	1	1	1	55.74850464	37.61839294
06.09.2017 10:12	06.09.2017 10:16	160.46.252.70	224	3	1	2	1	1	2	2	2	2	1	2	2	2	5	20	1	1	1	3	1	5	2	2	1	1	48.1499939	11.58329773
06.09.2017 10:47	06.09.2017 10:51	178.19.255.198	250	3	2	2	1	1	2	2	1	1	1	1	1	2	2	10	1	1	1	2	1	2	5	2	2	1	61.78489685	34.34689331
06.09.2017 10:52	06.09.2017 10:56	193.186.185.102	214	1	2	2	2	2	2	2	2	2	2	3	2	2	4	20	1	1	1	3	1	5	4	2	2	2	48.21670532	16.3999939
06.09.2017 12:56	06.09.2017 13:04	80.110.75.27	529	1	4	4	3	3	5	5	3	4	4	3	3	4	2	60	4	2	1	4	1	1	3	2	1	2	48.19999695	16.36669922
08.09.2017 13:27	08.09.2017 13:52	77.117.250.199	1485	1	2	2	2	1	3	2	2	2	1	3	2	3	4	30	2	1	1	3	1	1	3	2	1	1	48.19999695	16.36669922
09.09.2017 14:05	09.09.2017 14:12	84.112.44.98	411	1	1	2	2	2	2	4	4	4	2	4	4	4	2	40	1	1	1	5	1	5	5	2	2	1	48.23330688	16.3500061
09.09.2017 22:45	09.09.2017 22:50	78.15.221.178	254	1	3	4	4	3	4	4	4	4	4	4	4	3	2	80	4	1	1	5	1	1	3	2	2	2	39.23049927	9.11920166
10.09.2017 11:41	10.09.2017 11:47	188.152.77.193	392	1	3	4	3	2	4	4	3	2	2	3	2	2	4	50	1	1	1	2	1	5	5	2	2	2	45.46429443	9.189498901
11.09.2017 14:44	11.09.2017 14:47	212.186.105.149	159	2	2	2	2	3	1	1	1	1	2	2	2	2	4	20	1	1	1	3	1	5	4	2	2	2	48.19999695	16.36669922
11.09.2017 15:04	11.09.2017 15:06	193.171.107.10	114	3	2	1	1	1	2	2	2	1	1	1	1	1	5	15	1	1	1	3	1	1	1	2	1	2	48.21670532	16.3999939
11.09.2017 17:19	11.09.2017 17:27	178.200.236.61	438	3	2	2	2	1	2	2	3	2	2	2	2	2	3	30	1	1	1	3	1	5	5	1	2	2	48.19999695	16.36669922
11.09.2017 17:59	11.09.2017 19:17	137.208.128.18	4735	1	2	2	2	2	4	4	4	3	2	3	4	3	2	30	1	1	1	3	1	4	4	2	2	1	50.73620605	7.100204468
05.09.2017 08:06	05.09.2017 08:11	116.193.142.243	297	1	3	3	3	3	3	4	4	3	3	4	3	3	2	60	1	1	1	4	1	5	4	2	2	2	48.19999695	16.36669922
13.09.2017 15:35	13.09.2017 15:48	217.92.118.249	785	1	3	3	3	1	3	4	3	1	2	2	2	2	4	40	1	1	1	1	1	5	5	2	1	2		
13.09.2017 22:24	13.09.2017 22:29	80.110.105.219	289	1	3	3	3	2	4	4	4	3	3	4	4	4	2	60	3	2	1	3	1	2	5	1	1	2	51.29930115	9.490997314
11.09.2017 16:15	14.09.2017 13:43	86.56.146.66	250092	1	3	3	2	1	4	4	3	2	3	4	4	3	2	55	3	1	1	2	1	1	4	1	1	2	48.20869446	16.2407074
14.09.2017 17:26	14.09.2017 17:28	93.82.152.86	153	1	3	3	3	2	2	2	2	2	2	2	3	1	4	50	2	1	1	4	1	1	5	2	1	2	48.05000305	14.41670227
15.09.2017 07:58	15.09.2017 08:02	213.225.35.122	234	3	1	1	1	1	2	2	2	2	1	2	2	2	4	10	1	1	1	2	1	5	4	2	1	1	48.36000061	14.25849915
15.09.2017 11:48	15.09.2017 11:52	108.171.129.169	229	1	2	1	1	1	3	2	1	1	1	1	1	1	5	20	2	1	1	4	1	1	3	2	1	2	48.19999695	16.36669922
16.09.2017 13:37	16.09.2017 13:40	80.254.150.67	143	3	2	1	1	1	1	1	1	1	1	1	1	1	1	10	1	1	1	3	1	5	4	2	1	2	47	8
20.09.2017 16:24	20.09.2017 16:27	178.191.52.176	133	1	2	2	2	2	3	2	2	2	2	2	2	2	4	20	2	1	1	2	1	5	3	2	1	2	48.85820007	2.338699341
28.09.2017 13:17	28.09.2017 14:21	137.208.164.17	3840	1	4	4	4	3	4	4	4	3	3	4	4	4	3	75	4	1	1	3	1	1	4	2	1	1	48.20869446	16.2407074
