track_id,min_rank,streams,isrc,artist_id,release_date,explicit,danceability,duration_ms,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,label,rep_ctry,genre
01k24g94i1JvkFLQmVEdCd,179,2935,GBUM71801455,5vBSrE1xujD2FXYRarbAXc,2018-05-10,0,0.647,189000,0.853,-4.516,0.0904,0,0.062,0.618,103.846,UMG,GB,Pop
01kz4lRjl4QIk1Hxh88CKN,190,3012,DEWN21700067,41LLNWUptvfbQ9Q7oCefmg,2018-10-19,1,0.584,198609,0.772,-5.582,0.0714,0,0.361,0.0922,89.948,SONY,DE,HipHop & Rap
01q4ydDZhk4xdVb0M7uvgu,63,5421,DEUM71800605,22qcssYcY9HKu3mgcXXEGq,2018-03-09,0,0.696,220434,0.571,-9.578,0.0901,0,0.167,0.413,116.034,UMG,DE,HipHop & Rap
01TnVDiet1DFTsyWKUKovl,30,10365,USUG11800453,15UsOTVnJzReFVN1VCnxy4,2018-03-16,0,0.414,186268,0.416,-8.024,0.0251,0.179,0.131,0.196,159.91,UMG,US,Pop
01uk7IzZyFNfQTDBXxx6NB,91,3723,GBUM71703749,2wY79sveU1sp5g7SokKOiI,2017-11-03,0,0.672,192922,0.53,-6.43,0.0284,0,0.321,0.485,103.326,UMG,GB,Pop
01vR5Z7AHinp9D2wu2BNQS,2,45808,DEKF21900448,18ISxWwWjV6rPLoVCXf1dz,2019-08-30,0,0.791,174600,0.663,-5.655,0.153,0,0.117,0.314,77.494,SONY,DE,HipHop & Rap
01vv2AjxgP4uUyb8waYO5Y,55,9473,USAT21810685,3YQKmKGau1PzlVlkL1iodx,2018-10-05,0,0.734,258853,0.607,-7.249,0.0806,6e-04,0.0968,0.518,90.023,WARNER,US,Rock
01YCXtGSFPt6biDZXrd436,194,1629,FR10S1772542,4PvnP3yCzrT289cX3wCdOx,2017-03-14,1,0.672,181816,0.502,-9.119,0.096,1e-04,0.134,0.37,67.356,INDEP,FR,HipHop & Rap
01z2fBGB8Hl3Jd3zXe4IXR,117,4182,USWB11801211,4LLpKhyESsyAXpc4laK94U,2018-08-03,0,0.272,161840,0.238,-12.148,0.0349,0.0092,0.275,0.119,83.507,WARNER,US,HipHop & Rap
021lWIHJrURZrmvYQ1xcM8,154,5423,USSM12002490,1RyvyyTE3xzB2ZywiAwp0i,2020-05-15,1,0.931,207739,0.667,-7.043,0.318,0,0.15,0.667,142.039,SONY,US,HipHop & Rap
0247StOpd3AkeBQzANX4Zf,14,68008,GBF088400001,35S20clEkkSNUo23ViaslZ,2004-01-01,0,0.599,222533,0.642,-6.936,0.0363,0,0.0992,0.349,115.412,UMG,GB,Pop
026IC4Vj88QjLlnIPDExhz,104,3788,USUM71800031,2RQXRUsr4IW1f3mKyKsy4B,2018-02-02,0,0.83,168640,0.557,-5.146,0.118,0,0.249,0.492,114.966,UMG,US,Rock
02FaKXXL7KUtRc7K0k54tL,53,28448,USUM71819190,6jJ0s89eD6GaHleKKya26X,2018-11-15,0,0.774,182521,0.608,-6.264,0.128,0,0.0895,0.56,137.494,UMG,US,other
02hzok9aVy34Squ7u0OJ2G,87,5884,DEAR41239759,2lIPqh4d4EW2MhSVhCs7FR,2012-11-28,0,0.733,384141,0.672,-7.052,0.36,0.716,0.111,0.245,129.98,INDEP,DE,Electronic & Dance
02itaCXOdC54J0ISjqqFAp,21,15729,NLW4L1900121,6cEuCEZu7PAE9ZSzLLc2oQ,2019-04-05,0,0.733,147840,0.859,-5.03,0.033,0.0645,0.105,0.52,124.948,UMG,NL,Electronic & Dance
02iUVk5hDjUseFNgYXwF9I,174,10457,USMO10300698,3fMbdgg4jU18AjLCKBhRSm,2003-01-01,0,0.493,217027,0.431,-7.5,0.0231,0,0.17,0.335,84.458,UMG,US,Pop
02WacdrRpm4zlP8H7X6bnQ,77,2956,UK6KW1500205,6ydoSd3N2mwgwBHtF6K7eX,2016-06-03,0,0.608,260004,0.174,-8.796,0.0332,0,0.0855,0.193,112.175,UMG,US,Pop
02zpZDk6pHfNPLPMd3EJrp,142,6228,ATCX91900128,5XQbMJIeBUW9uiChRd7zk0,2019-11-29,0,0.674,183022,0.935,-4.885,0.0661,0,0.322,0.503,134.069,INDEP,AT,Pop
033if6Adj8fwBYsQzHOfQ8,1,59054,DECE72000176,4WZGDpNwrC0vNQyl9QzF7d,2020-02-27,0,0.701,173353,0.714,-5.906,0.524,0,0.0883,0.604,86.91,UMG,DE,HipHop & Rap
034jxfixe0Gogd6p0reMnP,11,25601,DEKF21901109,18ISxWwWjV6rPLoVCXf1dz,2019-12-06,0,0.608,175107,0.698,-5.279,0.0484,0.0032,0.0791,0.296,154.996,SONY,DE,HipHop & Rap
03CbQgFxnBFoaaVJTfEqMD,123,4366,GBARL1801498,1Ffb6ejR6Fe5IamqA5oRUF,2019-01-03,1,0.615,227265,0.858,-3.3,0.0396,0,0.0789,0.323,97.038,SONY,GB,Rock
03cZ771VV4ZIRVEbZbZZvO,196,1954,DEQ121644092,75ctWsRuGXmxMxnFPkuEwA,2017-06-30,1,0.844,223569,0.583,-7.453,0.0677,0,0.115,0.326,145.948,INDEP,DE,HipHop & Rap
03EcqaAMg58r10dgbl0o6y,121,3133,GBAHT1700691,374sWpAJsbZckf98df2jJJ,2017-11-10,0,0.906,180500,0.597,-2.566,0.0764,2.94e-06,0.0775,0.967,124.008,WARNER,GB,Electronic & Dance
03iCbZaM4OkRR4We6wIzvx,149,4915,QM6MZ1886155,3Nrfpe0tUJi4K4DXYWgMUX,2018-08-24,0,0.709,260234,0.857,-3.394,0.0881,0,0.103,0.446,126.038,INDEP,US,other
03JMjrsnUgeZNJ5yUJgWbL,92,2901,DEQ121748006,17aoRCzkZM3IFEbFqVCuX5,2017-05-12,1,0.741,193835,0.664,-9.512,0.0467,0,0.114,0.481,80.493,INDEP,DE,HipHop & Rap
03mMSLEJCPoGJwQhHpN5y0,183,6187,USSM11912594,6KImCVD70vtIoJWnq6nGn3,2019-12-13,0,0.653,197347,0.869,-3.725,0.0382,0,0.046,0.697,122.017,SONY,US,Pop
03n91BgbUx5fv8ZEbuoJTk,174,1545,DEE861600562,3DzvldYcKG83XYhYC0wfLn,2017-01-13,0,0.698,219747,0.478,-9.352,0.0557,0.0062,0.131,0.389,129.039,SONY,DE,Pop
03SfDYmOPflD23iTL5qjiq,56,9930,DEUM71900600,2NJWI8byqTSqDaJRnqJY2z,2019-03-29,1,0.842,173307,0.652,-6.644,0.132,0,0.094,0.392,101.11,UMG,DE,HipHop & Rap
03T4ttRCiLXST6MZjeMwmR,195,4699,GBAYE1901251,4gzpq5DPGxSnKTe4SA8HAU,2019-11-22,0,0.503,197533,0.808,-5.051,0.045,0.0016,0.557,0.283,107.975,WARNER,GB,Rock
03vyB3AHCuEGfhh7wPc7Yf,87,5854,USUM71804957,7n2wHs1TKAczGzO7Dd2rGr,2018-05-25,0,0.49,169587,0.473,-8.887,0.129,0,0.113,0.603,171.535,UMG,US,Pop
03x2rVJRFUrvwlfxoHd9Mo,76,7046,GBARL1801758,7z2avKuuiMAT4XZJFv8Rvh,2019-03-01,0,0.567,174983,0.696,-5.416,0.301,0,0.113,0.544,92.061,SONY,GB,Pop
042x9bsUBWW2fJgJ6fUh61,77,3160,NLZ541601286,5X4LWwbUFNzPkEas04uU82,2017-01-27,0,0.713,196307,0.733,-6.431,0.152,0,0.237,0.502,108.992,SONY,NL,Electronic & Dance
044qU7kwVZaDwzWnRsmVVL,85,3269,UK7MC1600068,3iOvXCl6edW5Um0fXEBRXy,2017-01-13,0,0.752,233280,0.543,-9.483,0.0398,0.0706,0.107,0.282,126.001,INDEP,US,Rock
04cB1RXKfacmrsunSXTepQ,141,4067,USQX91802370,2kCcBybjl3SAtIcwdWpUe3,2018-11-07,1,0.533,207587,0.638,-9.411,0.0636,9e-04,0.0758,0.324,135.056,SONY,US,HipHop & Rap
04CPpi0k997rSbdlzcxdM8,117,2536,NO5281701011,6c4sUNBgdonFJz8Kx2VsGz,2017-05-05,1,0.775,208544,0.889,-1.923,0.0678,0,0.34,0.754,102.998,WARNER,NO,Pop
04CttTezSnv71USiiG9mIo,83,3013,SE4RG1600601,3wjsrpfO6odEphTZWx45RQ,2016-11-11,0,0.595,218447,0.662,-6.858,0.0362,0,0.0804,0.417,96.053,INDEP,SE,Electronic & Dance
04CyO54TZk5tEylFg2Df41,86,4673,USUG11800159,0RqtSIYZmd4fiBKVFqyIqD,2018-04-06,0,0.382,234867,0.675,-6.56,0.0441,2e-04,0.219,0.449,106.171,UMG,US,Rock
04DwTuZ2VBdJCCC5TROn7L,20,8192,NLM5S1600003,60d24wfXkVzDSfLS6hyCjZ,2017-04-21,0,0.49,195840,0.485,-6.237,0.0406,0,0.337,0.196,133.889,SONY,NL,Electronic & Dance
04e7gxVx4zMzgQ589bMMim,21,17343,DEQ022002112,5pVRwX5ZQR7hfJ18w8ZYkl,2020-04-24,1,0.823,110110,0.662,-7.246,0.413,0.0066,0.214,0.195,179.954,INDEP,DE,HipHop & Rap
04hgIDWsvtlmAOSomsEYRG,13,29882,DEQ021807993,5wyWp867LWGjFmYZXVSFnZ,2019-03-15,1,0.676,155200,0.657,-7.012,0.146,0,0.105,0.618,150.049,INDEP,DE,HipHop & Rap
04JL2liXXV9B9coeGuUsPw,14,13676,USUM71709292,04gDigrS5kc9YWfZHwBETP,2017-11-03,0,0.796,199849,0.606,-5.254,0.0657,2.99e-06,0.0863,0.42,110.007,UMG,US,Pop
04L3tgiDrMKbfVeE6r6Ydy,129,5514,ATAT71802002,1nngQyj8LCicyLKclbWTmU,2019-04-26,0,0.757,213848,0.649,-6.842,0.0536,0,0.0903,0.73,109.014,WARNER,AT,Pop
04LQiWCNfZg4NONh8IcCyt,86,7607,DEUM71901814,4Yttlv9ndGjCDCVLqM7ACq,2019-09-26,0,0.763,167275,0.724,-5.656,0.236,0.006,0.0929,0.448,90.116,UMG,DE,HipHop & Rap
04MLEeAMuV9IlHEsD8vF6A,62,7192,USSM11807535,6vXTefBL93Dj5IqAWq6OTv,2018-09-20,1,0.765,192172,0.704,-4.589,0.127,0,0.227,0.498,147.055,SONY,US,HipHop & Rap
04paQ37b9ea8jLFAPQrRMh,185,2407,USRC11702818,0TnOYISbd1XYRBk9myaseg,2017-11-10,0,0.796,209453,0.84,-4.285,0.15,0,0.0676,0.842,114.935,SONY,US,Pop
04vLj9QUXoKdRlsp3gkURo,73,22410,USMC15005830,6ZjFtWeHP9XN7FeKSUe80S,1945-01-01,0,0.5,175333,0.224,-12.431,0.0935,0,0.284,0.62,202.481,UMG,US,other
04wFYPd2i6tXhatf7yTQfr,126,6813,DECE71900324,6NG0bF3tpQuQOixbzFPLIv,2019-07-12,1,0.864,192312,0.568,-7.054,0.186,0,0.153,0.917,137.982,UMG,DE,HipHop & Rap
04ynjj9UZ36BW35Hnqq7hZ,149,3574,DELV41800041,4lDiJcOJ2GLCK6p9q5BgfK,2018-05-11,0,0.563,216573,0.8,-6.611,0.288,0,0.179,0.715,120.005,WARNER,DE,HipHop & Rap
04YutdH0j1INpsva3gOipt,43,12138,USSM12001556,1yxSLGMDHlW21z4YXirZDS,2020-06-19,0,0.878,251429,0.626,-6.945,0.0476,7e-04,0.0939,0.427,105.046,SONY,US,Pop
04ZTP5KsCypmtCmQg5tH9R,63,7078,USWB11800739,64M6ah0SkkRsnPGtGiRAbb,2018-06-22,0,0.63,195519,0.694,-6.257,0.0253,0,0.0719,0.216,97.005,WARNER,US,Pop
053sjtHtfgseKIyA777w2C,27,9462,DELV41702737,6gto7HVNhu4ARE3P3g8Y5Y,2017-10-13,1,0.731,226047,0.782,-5.194,0.231,0,0.0983,0.356,172.036,INDEP,DE,HipHop & Rap
058Gim5mR65BceauqFm3oa,94,7484,DECE71900887,6h1s4i4XKIYv4ErDelLDN0,2020-04-16,1,0.711,179773,0.512,-6.205,0.416,0,0.0985,0.208,95.287,UMG,DE,HipHop & Rap
05aYPqscr6UPjgU3ha3vzD,83,3373,DECC61700001,5tlNJfV9UIpgnbWmvUEFu7,2017-06-16,0,0.813,233760,0.849,-5.961,0.195,0,0.0655,0.58,100.95,UMG,DE,other
05aZ9sAU1YXndHv0FMi9iW,96,6471,USUG12001740,3TVXtAsR1Inumwj472S9r4,2020-05-01,1,0.543,204805,0.766,-3.387,0.343,0,0.155,0.729,106.869,UMG,US,HipHop & Rap
05bnEv2dpFzmGVLGdjD9UP,156,3496,USUYG1156900,15UsOTVnJzReFVN1VCnxy4,2017-08-25,1,0.57,163840,0.0279,-22.282,0.0588,0.0892,0.254,0.28,84.902,INDEP,US,Pop
05CgKydlFJALNy4JTHeMgs,81,5517,USUM71713419,7dGJo4pcD2V6oG8kP0tJRR,2017-12-15,1,0.744,252960,0.821,-3.009,0.161,0,0.259,0.762,145.982,UMG,US,HipHop & Rap
05CwHjIk71RXVU40boRMnR,29,14944,USQX91901124,69GGBxA162lTqCwzJG5jLp,2019-05-31,0,0.591,217653,0.702,-5.59,0.0289,0,0.414,0.501,104.003,SONY,US,Electronic & Dance
05ga3lajzRAQzXVk4n8Mbf,144,3818,ATR211808911,7l0sTbJw0bmIFiAsXD5gBH,2018-08-31,0,0.774,169990,0.822,-7.594,0.0506,0,0.0659,0.974,133.017,INDEP,AT,Pop
05KOgYg8PGeJyyWBPi5ja8,28,7559,USCM51700056,3TVXtAsR1Inumwj472S9r4,2017-03-18,1,0.736,218674,0.491,-6.892,0.439,0,0.571,0.203,141.979,UMG,US,HipHop & Rap
05mDaV9Vb3wrzjF6OPZnhq,20,16377,USUM71915733,246dkjvS1zLTtiykXe5h60,2019-09-06,1,0.617,150867,0.684,-3.618,0.0439,0,0.104,0.295,132.113,UMG,US,HipHop & Rap
05Mp2UJulSttxQ4E6hQPH3,31,10876,DETX91500281,1aS5tqEs9ci5P9KD9tZWa6,2016-09-09,1,0.766,188504,0.8,-6.062,0.0938,0,0.0744,0.635,129.999,UMG,DE,HipHop & Rap
05nsEUAMX28XreUlIjgjre,18,13422,DEUM71800981,5eioJDe26lOqkAMbuhzZYs,2018-05-25,1,0.576,215872,0.868,-6.386,0.337,1.09e-06,0.171,0.449,125.007,UMG,DE,HipHop & Rap
05SzaJlbzwh3hANrYobJLP,134,3490,DEQ121750656,75ctWsRuGXmxMxnFPkuEwA,2018-03-23,1,0.861,202223,0.458,-10.573,0.374,8.66e-06,0.105,0.332,104.976,INDEP,DE,HipHop & Rap
05X6aMCQR09E6smUmw9qms,6,47282,GBUM71103767,1dfeR4HaWDbWqFHLkxsg1d,1984-02-27,0,0.296,261627,0.421,-8.891,0.0285,0,0.232,0.335,83.425,UMG,GB,Pop
05yTaWPb5rtmcLjc8gh6dB,30,12685,DECE72000206,6h1s4i4XKIYv4ErDelLDN0,2020-04-16,0,0.689,173747,0.661,-5.757,0.211,0,0.204,0.584,169.989,UMG,DE,HipHop & Rap
06A8IAZELgqnjQTaISHxXc,158,5916,DEUM71901982,10XY9PZCJKzUFzZOdtlQLU,2019-06-27,1,0.683,95365,0.759,-6.693,0.406,0,0.0696,0.493,97.108,UMG,DE,HipHop & Rap
06ANtmRZox7qLpkmPwMrwE,196,2070,DEUM71723929,3CJKkU0XuElRT1z8rEtIYg,2017-09-28,0,0.917,140347,0.609,-5.319,0.331,1.78e-06,0.125,0.288,140.002,UMG,DE,HipHop & Rap
06FCvd7rrRcF3DdvWH5Isp,59,5018,USUM71703087,2YZyLoL8N0Wb9xBt1NhZWg,2017-04-14,1,0.678,307880,0.562,-9.197,0.508,0,0.104,0.566,94.241,UMG,US,HipHop & Rap
06GcodDliPWAYFX2LSFLIu,182,3766,USRC11803516,6LuN9FCkKOj5PcnpouEgny,2018-10-18,0,0.487,270413,0.458,-7.761,0.0371,0.0257,0.117,0.207,115.989,SONY,US,Pop
06GLoUz0gyKp3jQWTXiv0P,181,2541,FR9W11727903,1tQn5gWbo3ee6n2Z52ogY5,2018-04-20,0,0.648,236760,0.486,-9.083,0.0521,3e-04,0.618,0.175,96.993,INDEP,FR,Pop
06ieFuGkwHCOFP2cmOBmgb,31,7916,DEQ121747918,18ISxWwWjV6rPLoVCXf1dz,2017-09-01,0,0.679,204053,0.605,-10.004,0.265,0.0881,0.192,0.488,194.071,INDEP,DE,HipHop & Rap
06LvKELThd1uUFOA45VFqB,121,5986,DEXG91900038,1yIifIA91WgmfzBcjbQB8i,2019-08-23,0,0.928,150000,0.806,-4.688,0.207,0.0165,0.091,0.77,128.05,UMG,DE,HipHop & Rap
06Nkd71QjocifNe4B6CjVO,199,3756,ATR210202101,0hljNpU3XvajeKfv7ptjXA,2011-02-18,0,0.627,241440,0.971,-4.951,0.0403,1e-04,0.657,0.961,144.006,INDEP,AT,Electronic & Dance
06NtLnWkfLNwnzxdsZsvqH,92,5168,DETM41610280,7jDSMakHqXFe8kIaXfz8jD,2018-05-30,1,0.87,205347,0.51,-6.181,0.304,1e-04,0.0839,0.328,109.014,UMG,DE,HipHop & Rap
06omSpahBsBYZxnzieTMI0,16,14363,DEA621800472,3drqpTL4sQOckmAfF9i1wg,2018-07-06,1,0.666,161600,0.639,-4.319,0.363,0,0.159,0.218,157.778,WARNER,DE,HipHop & Rap
06pbKFx2Iut0MRs1XjV9Mc,52,14014,DEKF21901114,18ISxWwWjV6rPLoVCXf1dz,2019-12-06,0,0.663,190640,0.691,-3.903,0.0586,4.7e-06,0.104,0.19,161.866,SONY,DE,HipHop & Rap
06SlruQYZCozqCdlar8Y2g,82,3430,DEW921401087,3utZ2yeQk0Z3BCOBWP7Vlu,2017-07-27,1,0.701,195815,0.456,-10.53,0.125,4e-04,0.0971,0.137,105.115,INDEP,DE,HipHop & Rap
06uqeKPXYhw6jSeqv9j4lW,173,6437,DEWT11900010,6gto7HVNhu4ARE3P3g8Y5Y,2019-12-13,1,0.713,201707,0.873,-6.646,0.332,0,0.347,0.7,135.551,INDEP,DE,HipHop & Rap
06xtJscJRJBZjTThCy46iq,53,7796,FR59R1877592,0wwDZj4zgZORjTGhTujAKx,2018-10-26,1,0.787,244000,0.608,-6.166,0.0995,0,0.141,0.326,120.073,INDEP,FR,HipHop & Rap
073ILU1C3APNRGF66VhtyA,94,7610,USSM11905818,4nDoRrQiYLoBzwC5BhVJzF,2019-12-06,0,0.74,207039,0.498,-6.684,0.0456,0.0028,0.319,0.652,98.016,SONY,US,Pop
07f2b3CTdgKKlhv0mqUksz,10,22504,DEVX51900045,4sg4no0TXdsrM1s4SVUwNF,2019-06-14,1,0.711,161882,0.682,-5.073,0.0558,0,0.0669,0.466,89.015,UMG,DE,HipHop & Rap
07K5HruJBz4nFOv7i1wJKc,193,6065,DEWT11900018,6gto7HVNhu4ARE3P3g8Y5Y,2019-12-13,1,0.47,256853,0.867,-6.419,0.442,0,0.106,0.696,93.877,INDEP,DE,HipHop & Rap
07KbI05QnjX8IbDBDRySxR,95,3475,DEQ321700024,3nDNDLcZuSto4k9u4AbcLB,2017-05-26,0,0.769,222040,0.874,-2.951,0.142,0,0.1,0.67,145,SONY,DE,HipHop & Rap
07KXEDMj78x68D884wgVEm,148,5076,USAT21906985,757aE44tKEUQEqRuT6GnEB,2019-12-06,1,0.831,220487,0.499,-8.442,0.114,0,0.3,0.511,97.956,WARNER,US,HipHop & Rap
07MPytx5xrnK6zJK5RbFSR,87,7814,DEXJ51800102,5TfpwNDNvEPPjWk65OrtmV,2019-10-17,1,0.699,202760,0.672,-9.331,0.339,6.39e-06,0.159,0.347,145.011,UMG,DE,HipHop & Rap
07ow7Aog78Gb0OnavPf8i9,134,4335,DEQ021801390,0r0R5nIjDY04TfxRM10Bcb,2018-09-14,1,0.685,222557,0.691,-6.487,0.0424,3e-04,0.263,0.738,120.013,INDEP,DE,HipHop & Rap
07Oz5StQ7GRoygNLaXs2pd,64,10247,USAT21906086,56oDRnqbIiwx4mymNEv7dS,2019-10-25,0,0.668,159011,0.892,-3.001,0.0645,0,0.735,0.478,95.927,WARNER,US,Pop
07qlsG6DYRLBbovwca9Vbr,32,8112,DEPT21800004,21aa4pj9BvbFB2iT8kRpnq,2018-05-04,0,0.451,177886,0.279,-9.953,0.03,0,0.103,0.424,74.786,INDEP,DE,Pop
07qRuf6oSMbanabCncwitj,133,6061,DEUM71901818,4Yttlv9ndGjCDCVLqM7ACq,2019-09-26,0,0.641,204722,0.559,-8.429,0.0743,0,0.109,0.511,159.959,UMG,DE,HipHop & Rap
07rmSXN6vNoquX1AsWd9pP,120,6031,QM24S1919349,6USMTwO0MNDnKte5a5h0xx,2019-06-07,1,0.843,160615,0.391,-7.899,0.0845,0,0.137,0.496,129.972,INDEP,US,Pop
07s9NNOT0sZQp7TyolLLgu,53,10240,GBAHS1901369,2SrSdSvpminqmStGELCSNd,2019-11-22,0,0.817,216707,0.781,-4.178,0.112,5.21e-06,0.123,0.359,104,WARNER,GB,HipHop & Rap
07TAUihsoCBnLWWXuZYUyw,25,10657,DEQ321700052,7qXzy6c5RWT0XlVQcOBIDG,2017-04-21,0,0.785,162773,0.587,-7.712,0.0841,0,0.109,0.686,127.996,SONY,DE,Pop
07W9fL0ee9LsqD9c3kNrdo,131,3447,USUM71800988,6oMuImdp5ZcFhWP0ESe6mG,2018-01-26,1,0.797,233880,0.341,-9.733,0.373,1.08e-06,0.198,0.423,165.917,UMG,US,HipHop & Rap
07wJBypCcDWsNdLCQNF93A,150,3815,ATR981183723,7hLRwTuwNCg5hZtYD5kXn1,2018-09-02,0,0.667,175627,0.55,-11.673,0.0298,0.224,0.0849,0.279,100.281,INDEP,AT,Pop
07xs8mGWJw8CSzvfiKqblW,119,6507,DEA621901315,0t6A5IoqSxQzxmMoDkS9Cv,2020-02-07,1,0.71,161120,0.714,-3.873,0.316,0,0.124,0.544,93.63,WARNER,DE,HipHop & Rap
