week,track_id,region,streams,rank
2017-01-01,1WP1r7fuvRqZRnUaTi2I1Q,at,11216,126
2017-01-01,1xznGGDReH1oQq0xzbwXa3,at,42420,22
2017-01-01,1yNyoWWWikbLhwIGWjZuDW,at,15810,44
2017-01-01,1YW369EbVyjpeLE3YbsjKQ,at,10727,150
2017-01-01,21Jm8e4P2xykNsI2age7pC,at,8298,138
2017-01-01,24QLjRdXiJdhuzzaXg9mqK,at,2653,197
2017-01-01,26hcyzSE154xMZCbFdtInA,at,12935,107
2017-01-01,27SdWb2rFzO6GWiYDBTD9j,at,37034,35
2017-01-01,28CWzJEydS0er9hU3TEYyJ,at,5930,164
2017-01-01,2Ae5awwKvQpTBKQHr1TYCg,at,14603,104
2017-01-01,2aFiaMXmWsM3Vj72F9ksBl,at,12762,97
2017-01-01,2aksifNn5ph8igDOkPBA02,at,14695,100
2017-01-01,2BrzlUj1u1CtvaJDGIKpsP,at,18656,79
2017-01-01,2CPqh63wRVscbceKcPxwvv,at,37086,41
2017-01-01,2Cth0v1xri32oZ799rL3rl,at,1916,133
2017-01-01,2e6L8mAClebcUmNi1HkyyP,at,2123,120
2017-01-01,2Fjz5ZC5BvFdCqcnTZ3ilH,at,15352,102
2017-01-01,2H6dHxAxGq5oQ9EiinNpXT,at,12719,127
2017-01-01,2hgzdQdnfWwtdpZbhZlV72,at,10916,112
2017-01-01,2HzfRSfCogBSsgW2CckVA2,at,35187,15
2017-01-01,2IDDQFHRf9iH35jeL89uNs,at,14082,110
2017-01-01,2KHbPYI22yWIOgWUsApYIS,at,21861,69
2017-01-01,2KMJ5CoxY4ECG9TZyNWmpv,at,12405,119
2017-01-01,2MHCiOohBZEQuLgDTPvSzF,at,21734,67
2017-01-01,2nAAFnHiXRdWhsqoeqhhnr,at,9010,89
2017-01-01,2nYpbaLykC2cjU8Yt5KF1v,at,84184,3
2017-01-01,2qOMpFfLZ0agDTouBxUDCb,at,6017,125
2017-01-01,2rizacJSyD9S1IQUxUxnsK,at,43868,30
2017-01-01,2s76aKBWKShlwPC4xTtEEE,at,12603,116
2017-01-01,2tUxTQSGGteM7HljpqWU6J,at,7921,86
2017-01-01,2uSm3nvujwcpDWOpT09eWb,at,1420,180
2017-01-01,2wDjpPW3HZdA9quPPmZAMu,at,14531,104
2017-01-01,2XMTqoHHSH0lvuXrvIEdco,at,21935,66
2017-01-01,2Z8WuEywRWYTKe1NybPQEW,at,25075,53
2017-01-01,30t2cItUPY7CvZOup7zptn,at,13098,95
2017-01-01,343YBumqHu19cGoGARUTsd,at,33644,44
2017-01-01,369SOcTvxnm9DWYIzoNzal,at,1392,184
2017-01-01,36qA0yKr7uNfQDFledNkiN,at,3040,170
2017-01-01,3AsAuGTaDQzavZZThyYlop,at,24925,55
2017-01-01,3B7udSGy2PfgoCniMSb523,at,3925,127
2017-01-01,3bidbhpOYeV4knp8AIu8Xn,at,10615,124
2017-01-01,3cFsmM51N5zMAuu1nNY4Tw,at,52708,19
2017-01-01,3cNjgVBKTJ1SvKhunrCdVy,at,10377,158
2017-01-01,3CRDbSIZ4r5MsZ0YwxuEkn,at,21924,51
2017-01-01,3D3Tkk0d9UmECpH5Fprmuv,at,12546,101
2017-01-01,3E2Zh20GDCR9B1EYjfXWyv,at,17204,84
2017-01-01,3EmmCZoqpWOTY1g2GBwJoR,at,66638,11
2017-01-01,3fJua408ovMRQ0JYGepaAY,at,11730,121
2017-01-01,3FTKzJI05mtKBIouwQcEpZ,at,6885,157
2017-01-01,3g62kHCCbNwhEKYywx5Xwz,at,10634,144
2017-01-01,3ghPeGA7IkGIZsrIKw9wbi,at,4343,152
2017-01-01,3hB5DgAiMAQ4DzYbsMq1IT,at,13409,116
2017-01-01,3KbCjPkewCmJt09FYtyVK5,at,12223,130
2017-01-01,3N08HLCSwOHhMQKJGIZ7rE,at,12372,102
2017-01-01,3NdDpSvN911VPGivFlV5d0,at,89482,3
2017-01-01,3nmWV4qvKl7rPdX99SyQem,at,1452,188
2017-01-01,3qaYuV5XZAwiOvGE91HhwS,at,13602,106
2017-01-01,3qlF4ENgFTbAbPZfFF9lxt,at,14126,98
2017-01-01,3SGWp9fJCzgK0WcpcKSQdy,at,2901,78
2017-01-01,3SqvR3HYLlCTYzbDXJ52OC,at,19521,72
2017-01-01,3TRFq09DUgYj1mug6RRqJW,at,26807,17
2017-01-01,3TZ3MiMILR5wrQbbWiFUwI,at,19108,76
2017-01-01,40UroIGvsMPLPBYwH8rMNA,at,22996,61
2017-01-01,40YcuQysJ0KlGQTeGUosTC,at,16230,79
2017-01-01,43jBqV3j3Xi1g6wO0bhIMd,at,27121,15
2017-01-01,463oFGElXVcP8ueC72zvMj,at,13941,82
2017-01-01,46jLy47W8rkf8rEX04gMKB,at,4345,156
2017-01-01,46NBoIAHrmR7qcUGCIFEjR,at,1301,200
2017-01-01,4b4KcovePX8Ke2cLIQTLM0,at,15649,51
2017-01-01,4bHsxqR3GMrXTxEPLuK5ue,at,8543,145
2017-01-01,4dASQiO1Eoo3RJvt74FtXB,at,25396,57
2017-01-01,4F7A0DXBrmUAkp32uenhZt,at,11174,135
2017-01-01,4ggbSF8UUSSO0wM5SockJ2,at,1656,156
2017-01-01,4GyG53nBdaEvSEn9o8roA2,at,1248,180
2017-01-01,4h9RkpbGEsz9c8O8lemA2g,at,2874,169
2017-01-01,4Hf7WnR761jpxPr5D46Bcd,at,39479,36
2017-01-01,4Km5HrUvYTaSUfiSGPJeQR,at,17504,86
2017-01-01,4nMlau89VAjmV7agkl7OY3,at,21016,65
2017-01-01,4nxvRweTK5ZZhbH3G7PuEn,at,19779,63
2017-01-01,4PdJSsESm34djLfBde9Pr2,at,53665,18
2017-01-01,4pdPtRcBmOSQDlJ3Fk945m,at,66691,11
2017-01-01,4pLwZjInHj3SimIyN9SnOz,at,34416,45
2017-01-01,4Q4jmPHwu0wrJvqrld0FQ6,at,23999,55
2017-01-01,4QdovcM8j50QPlyR7tH4xe,at,9948,129
2017-01-01,4qqArAiTPueDxIp7cf87h7,at,33716,44
2017-01-01,4rkEjyRMjc6rcj7WROZ9XK,at,41473,34
2017-01-01,4sPmO7WMQUAf45kwMOtONw,at,3998,175
2017-01-01,4tCtwWceOPWzenK2HAIJSb,at,19580,69
2017-01-01,4TZy1wLyHec06pwgFYDh1a,at,60388,17
2017-01-01,4vb4mFvYsr2h6enhjJsq9Y,at,25994,56
2017-01-01,4WjH9Bzt3kx7z8kl0awxh4,at,10535,151
2017-01-01,550rQQCGkrTzvp4SfpOPzx,at,19422,59
2017-01-01,58zsLZPvfflaiIbNWoA22O,at,55620,19
2017-01-01,5aAx2yezTd8zXrkmtKl66Z,at,74662,7
2017-01-01,5bZtRlMBU76vHuDOb1GM5u,at,10997,73
2017-01-01,5ChkMS8OtdzJeqyybCc9R5,at,1223,187
2017-01-01,5CXjevTAQIYO1Z0yyiOOno,at,2755,175
2017-01-01,5DA77EqppDmCTWGovd4oTP,at,21222,65
2017-01-01,5dKyZWlgjWw1oJgLa4GCZD,at,2665,187
2017-01-01,5dwUbAB8YvBey0lP92gdMd,at,2915,169
2017-01-01,5eek2X5459T1HoYJk2CKXv,at,5561,187
2017-01-01,5fo4LbJ8lOaB54wcM5wPMv,at,1396,156
2017-01-01,5fPGpdC4tmcVMmTuJV2HRg,at,1409,154
2017-01-01,5GFDrUTLGJix84sNhjCG0g,at,5831,123
2017-01-01,5GXAXm5YOmYT0kL5jHvYBt,at,40353,34
2017-01-01,5hIR7SX1fSrr5evIAPDY5o,at,43216,29
2017-01-01,5hTpBe8h35rJ67eAWHQsJx,at,1883,123
2017-01-01,5hYTyyh2odQKphUbMqc5gN,at,17453,81
2017-01-01,5hz9DEkahyWoTs3rxJOTtw,at,35785,38
2017-01-01,5iYe4mt1bf1KVzVM8EY6y8,at,4044,185
2017-01-01,5knuzwU65gJK7IF5yJsuaW,at,107660,2
2017-01-01,5LlsD7LdSMkGV4Iu0a2Zq0,at,1304,199
2017-01-01,5MFzQMkrl1FOOng9tq6R9r,at,63268,14
2017-01-01,5nA67Y0XX9JipZwYxX7Gl7,at,11720,128
2017-01-01,5NafFxaLg9Ep21oTHBw7Zq,at,45066,27
2017-01-01,5OOkp4U9P9oL23maHFHL1h,at,16894,92
2017-01-01,5qqabIl2vWzo9ApSC317sa,at,3035,128
2017-01-01,5tf1VVWniHgryyumXyJM7w,at,10207,160
2017-01-01,5uCax9HTNlzGybIStD3vDh,at,78597,7
2017-01-01,5v9N8Rx3QsFvr50cxyQcA3,at,2981,171
2017-01-01,5XTIGcdUxuJA0m1Rxa6D6I,at,1533,172
2017-01-01,5yKfZwcuSoEkOemLJX6hEm,at,16095,89
2017-01-01,5Z01UMMf7V1o0MzF86s6WJ,at,12453,126
2017-01-01,638fKB27P7UAmu3Aq0vEJ3,at,1377,181
2017-01-01,64qGiwJq4tO4wrxiY9CWjE,at,1235,185
2017-01-01,64xJ1MMFxxK6osZxJH857T,at,2585,183
2017-01-01,68EMU2RD1ECNeOeJ5qAXCV,at,17526,83
2017-01-01,69bp2EbF7Q2rqc5N3ylezZ,at,14188,89
2017-01-01,6A8dnC0xkiuWN4BshmTB2I,at,11079,124
2017-01-01,6b8Be6ljOzmkOmFslEb23P,at,37454,40
2017-01-01,6bLopGnirdrilrpdVB6Um1,at,22935,60
2017-01-01,6C7RJEIUDqKkJRZVWdkfkH,at,5444,159
2017-01-01,6cAKeFFYW2aClZSUyvqAEW,at,2816,172
2017-01-01,6cREm4bV7V79Yxdilx9HDo,at,7005,168
2017-01-01,6DNtNfH8hXkqOX1sjqmI7p,at,44098,25
2017-01-01,6F609ICg9Spjrw1epsAnpa,at,2880,178
2017-01-01,6fujklziTHa8uoM5OQSfIo,at,54077,19
2017-01-01,6fxVffaTuwjgEk5h9QyRjy,at,13885,72
2017-01-01,6gTJaPuj8DT8RjuDJyBgzP,at,3431,153
2017-01-01,6hjck7ERXicpsW51UkdHCA,at,5545,177
2017-01-01,6HUnnBwYZqcED1eQztxMBN,at,68356,11
2017-01-01,6i0V12jOa3mr6uu4WYhUBr,at,48444,25
2017-01-01,6IGA5YrFiEr5ANrMqKkR6H,at,5701,175
2017-01-01,6JV2JOEocMgcZxYSZelKcc,at,27268,45
2017-01-01,6JyuJFedEvPmdWQW0PkbGJ,at,6750,180
2017-01-01,6Knv6wdA0luoMUuuoYi2i1,at,10212,142
2017-01-01,6mICuAdrwEjh6Y6lroV2Kg,at,30327,50
2017-01-01,6nxQdXa1uAL0rY72wPZu89,at,50787,21
2017-01-01,6O6M7pJLABmfBRoGZMu76Y,at,11813,136
2017-01-01,6O85MfGECKBqAK2MgSbCaj,at,13295,89
2017-01-01,6OZh916QF8XNunWaP97WEZ,at,17099,61
2017-01-01,6pC9WwxPwliXagk4L8cnuD,at,1354,162
2017-01-01,6PCUP3dWmTjcTtXY02oFdT,at,40833,1
2017-01-01,6rQSrBHf7HlZjtcMZ4S4bO,at,4126,188
2017-01-01,6rwCkGBh7CV6pcdxZKbcsG,at,40574,33
2017-01-01,6s5smacBOoWoI08Vi6EX5T,at,4162,174
2017-01-01,6sDQ4uiWw9OdVrCXFLSlZt,at,1336,198
2017-01-01,6swQNgqYQmtBlUT7VydnxU,at,7357,163
2017-01-01,6t2ubAB4iSYOuIpRAOGd4t,at,11704,125
2017-01-01,6v6xHeuMLbCuddN0ETrGhs,at,12447,123
2017-01-01,6vECYJHxYmm3Ydt3fF01pE,at,1358,186
2017-01-01,6wHRm1KR8pzVDPdmR6Qovj,at,20346,75
2017-01-01,6yc377A8qxHIjPUcjGD4ET,at,4181,143
2017-01-01,6yr8GiTHWvFfi4o6Q5ebdT,at,11525,137
2017-01-01,6yxQYuItvkkjEDGvORwzeD,at,5035,142
2017-01-01,6YZdkObH88npeKrrkb8Ggf,at,2602,178
2017-01-01,7129iqBafaphfc3WPCGC0L,at,12579,125
2017-01-01,728zbo72kOoYdGR3AhNsyF,at,2859,82
2017-01-01,7675gjlUZzneYiMrQ9Inx8,at,5308,176
2017-01-01,767AsV1cQwmOU4PJG96MzO,at,3007,152
2017-01-01,76gwG061wqdatYhicO2hG4,at,87157,4
2017-01-01,78rIJddV4X0HkNAInEcYde,at,77958,7
2017-01-01,7abpmGpF7PGep2rDU68GBR,at,26686,52
2017-01-01,7aV2mflaASUmGhCErm7kBO,at,44374,28
2017-01-01,7BKLCZ1jbUBVqRi2FVlTVw,at,80211,5
2017-01-01,7cKeJC6BEEFiHH6pEBVMx5,at,1739,150
2017-01-01,7cufww06qM0dH2rpkch4fi,at,8875,163
2017-01-01,7eINNUMHd6YAPldsUlCz9q,at,26209,50
2017-01-01,7FB8l7UA1HKqnuSLjP9qDc,at,3578,128
2017-01-01,7gHs73wELdeycvS48JfIos,at,27494,47
2017-01-01,7gZQfdEQpmwAoPHSbEHzms,at,7488,148
2017-01-01,7Is0OPWVcN8DdZpcNuClcy,at,8636,144
2017-01-01,7istTRCq9OK5cEC8sPAc50,at,20290,64
2017-01-01,7Kq16WtEJzdRSNQgdXsn7Y,at,5217,184
2017-01-01,7lQ8MOhq6IN2w8EYcFNSUk,at,10066,167
2017-01-01,7of1slAJIWrXxP8ikAHxje,at,28454,53
2017-01-01,7oK9VyNzrYvRFo7nQEYkWN,at,1325,166
2017-01-01,7qiZfU4dY1lWllzX7mPBI3,at,40440,1
2017-01-01,7sU6BDmS1qwb78OpUMARPb,at,13377,108
2017-01-01,7vRriwrloYVaoAe3a9wJHe,at,14760,101
2017-01-01,7xHWNBFm6ObGEQPaUxHuKO,at,19305,68
2017-01-01,7yHEDfrJNd0zWOfXwydNH0,at,5264,185
2017-01-01,7ynCQo1KpBOyTdTdAnjSLZ,at,2042,122
2017-01-01,7yyRTcZmCiyzzJlNzGC9Ol,at,16881,89
2017-01-01,7zja6rwquGA6vzLolzKrda,at,13234,90
2017-01-01,7zTx8ePYAmPFQuxP3xlXZn,at,10887,136
2017-01-08,00vk0sEfb6mr2ehwSw0Uhn,at,14137,118
2017-01-08,014J7jX1wSv0manSdRnveo,at,4918,127
2017-01-08,02WacdrRpm4zlP8H7X6bnQ,at,18829,81
2017-01-08,042x9bsUBWW2fJgJ6fUh61,at,12332,112
2017-01-08,044qU7kwVZaDwzWnRsmVVL,at,5093,85
2017-01-08,04CttTezSnv71USiiG9mIo,at,12379,131
2017-01-08,04DwTuZ2VBdJCCC5TROn7L,at,47464,28
2017-01-08,05Mp2UJulSttxQ4E6hQPH3,at,40728,40
2017-01-08,0ADG9OgdVTL7fgREP75BrZ,at,13741,116
2017-01-08,0azC730Exh71aQlOt9Zj3y,at,10754,147
2017-01-08,0B8B8cVRFIG1yznoQe7c9s,at,14799,99
2017-01-08,0bZcstGSV52WWUR8WkrW5p,at,1316,194
2017-01-08,0cAuqPI1R8RlFsXXWWO039,at,13530,121
2017-01-08,0ekFioHmdtwcITYOYXavl6,at,14329,103
2017-01-08,0eZBeB2xFIS65jQHerispi,at,15772,101
2017-01-08,0gb1J5UrTpzaU1s3nupgCd,at,12744,126
2017-01-08,0h4FK0CnlZ3oJnZ6quEk1P,at,11710,144
2017-01-08,0hNduWmlWmEmuwEFcYvRu1,at,43029,33
2017-01-08,0JiVRyTJcJnmlwCZ854K4p,at,110769,3
2017-01-08,0L7loeTIg6akW84aEQZpCT,at,15202,100
2017-01-08,0L87MffumRNWrY2SNUFcvs,at,30981,51
2017-01-08,0lmdsH1MIoLsMymnNpd6HU,at,15253,109
2017-01-08,0lsbbaa7nj7LtUXVdk0BQe,at,7203,143
2017-01-08,0OwX5aROoW1Iip8FV51Efg,at,23025,65
2017-01-08,0prNGof3XqfTvNDxHonvdK,at,53553,21
2017-01-08,0QjewL57d6QobAvn1JoQd9,at,10645,157
2017-01-08,0QsvXIfqM0zZoerQfsI9lm,at,43287,34
2017-01-08,0SGkqnVQo9KPytSri1H6cF,at,11907,111
2017-01-08,0SuG9kyzGRpDqrCWtgD6Lq,at,1458,169
2017-01-08,0t4v7Q4yzb9SOQohayL33W,at,16883,94
2017-01-08,0tICYNayWWhH9GPeFrfjfD,at,12854,134
2017-01-08,0vbbhcA6okLzvsy6WSTlLg,at,1226,200
2017-01-08,0WCEaydwN65cvwaW8aqptF,at,1662,185
2017-01-08,0xCXcq4y44uHJtJ7zZDF3d,at,27707,56
2017-01-08,0Xt07wEnASnw91iFJ1su1j,at,3164,197
2017-01-08,0YHUITU3w6ws1v8ehT264g,at,13985,115
2017-01-08,0zMzyHAeMvwq5CRstru1Fp,at,4356,151
2017-01-08,0Zx8khUcEfCFK2AEoIhC92,at,19509,74
2017-01-08,11KJSRSgaDxqydKYiD2Jew,at,8485,171
2017-01-08,12REd1n8PeiHHWOh066tpr,at,5159,193
2017-01-08,13HVjjWUZFaWilh2QUJKsP,at,1267,190
2017-01-08,17Fd6Yb7mSbinKG8LoWfFl,at,18111,71
2017-01-08,1a5Yu5L18qNxVhXx38njON,at,51171,23
2017-01-08,1BMwsK4pa9KhiFmOp1oCjf,at,2907,189
2017-01-08,1Bqxj0aH5KewYHKUg1IdrF,at,10501,157
2017-01-08,1cG0umU5TKStygKsPFZ9pY,at,87461,6
2017-01-08,1CnPYaKxTVb4LWOtiGOm0m,at,18975,78
2017-01-08,1CUVN2kn7mW5FjkqXTR2W1,at,17125,91
2017-01-08,1D3ODoXHBLpdxolZRHWV1j,at,46485,30
2017-01-08,1FUViuNSldssMIawrOXF2i,at,20311,77
2017-01-08,1HCw8XKtTgWWU3JlEUR0qQ,at,10553,154
2017-01-08,1jNOi6m3Hn8nLEeHCp5Msr,at,2680,196
2017-01-08,1kFJTEnAvJ70S5mXplUAFR,at,5834,166
2017-01-08,1lItf5ZXJc1by9SbPeljFd,at,10221,168
2017-01-08,1OAiWI2oPmglaOiv9fdioU,at,15777,104
2017-01-08,1oc4kHthIpfa2jQnIL33GE,at,16707,90
2017-01-08,1onfcprzpSGh2LqrBh17AA,at,4632,97
2017-01-08,1PSBzsahR2AKwLJgx8ehBj,at,39847,36
2017-01-08,1qOLh0tI7trd1zdDKxYZTe,at,41957,35
2017-01-08,1rIKgCH4H52lrvDcz50hS8,at,10347,175
2017-01-08,1Rl40PsX4mh9xVOeGHq86B,at,7297,167
2017-01-08,1sl5tSzfK1JrcQIcA8rYDy,at,2310,123
2017-01-08,1Slwb6dOYkBlWal1PGtnNg,at,14140,100
2017-01-08,1ssmjAYSU5PbmsjLq5yrNH,at,49855,24
2017-01-08,1sXUWdKx03aP9Gmzft58rt,at,1772,175
2017-01-08,1uoL9GX45dTnmrWQ7Ii1Ft,at,3409,80
2017-01-08,1UXyQicTgZI4PT4zflpodi,at,15024,104
2017-01-08,1VdZ0vKfR5jneCmWIUAMxK,at,7979,104
2017-01-08,1VoHrSS3QQ6TbpabLrFiYb,at,11413,145
2017-01-08,1vvNmPOiUuyCbgWmtc6yfm,at,62100,17
2017-01-08,1wH37V5bvr2DyWBYjYyLo7,at,1238,197
2017-01-08,1WP1r7fuvRqZRnUaTi2I1Q,at,11136,135
2017-01-08,1xznGGDReH1oQq0xzbwXa3,at,37477,45
2017-01-08,1yNyoWWWikbLhwIGWjZuDW,at,43632,34
2017-01-08,1YW369EbVyjpeLE3YbsjKQ,at,11342,144
2017-01-08,21Jm8e4P2xykNsI2age7pC,at,9622,138
2017-01-08,24QLjRdXiJdhuzzaXg9mqK,at,1324,192
2017-01-08,26hcyzSE154xMZCbFdtInA,at,11761,146
2017-01-08,27SdWb2rFzO6GWiYDBTD9j,at,30782,49
2017-01-08,28CWzJEydS0er9hU3TEYyJ,at,9047,152
2017-01-08,2Ae5awwKvQpTBKQHr1TYCg,at,18857,79
2017-01-08,2aFiaMXmWsM3Vj72F9ksBl,at,10616,163
2017-01-08,2aFujKFsDGMuV6BXsdyU9y,at,1257,193
2017-01-08,2aksifNn5ph8igDOkPBA02,at,16410,90
2017-01-08,2BrzlUj1u1CtvaJDGIKpsP,at,18311,80
2017-01-08,2CPqh63wRVscbceKcPxwvv,at,30487,50
2017-01-08,2DQHzXM5eKjunrgtcnsefC,at,1707,183
2017-01-08,2e6L8mAClebcUmNi1HkyyP,at,6324,162
2017-01-08,2Fjz5ZC5BvFdCqcnTZ3ilH,at,14458,114
2017-01-08,2H6dHxAxGq5oQ9EiinNpXT,at,12376,137
2017-01-08,2hgzdQdnfWwtdpZbhZlV72,at,2884,190
2017-01-08,2IDDQFHRf9iH35jeL89uNs,at,12639,126
2017-01-08,2KHbPYI22yWIOgWUsApYIS,at,22592,69
2017-01-08,2KMJ5CoxY4ECG9TZyNWmpv,at,11720,128
2017-01-08,2MHCiOohBZEQuLgDTPvSzF,at,21321,72
2017-01-08,2nAAFnHiXRdWhsqoeqhhnr,at,8713,91
2017-01-08,2nYpbaLykC2cjU8Yt5KF1v,at,81658,8
2017-01-08,2Q659ZNGaigzIlL8D7oM2J,at,1833,165
2017-01-08,2rizacJSyD9S1IQUxUxnsK,at,43657,34
2017-01-08,2s76aKBWKShlwPC4xTtEEE,at,9876,112
2017-01-08,2tUxTQSGGteM7HljpqWU6J,at,16589,89
2017-01-08,2uSm3nvujwcpDWOpT09eWb,at,1328,193
2017-01-08,2wDjpPW3HZdA9quPPmZAMu,at,13796,117
2017-01-08,2XMTqoHHSH0lvuXrvIEdco,at,20222,80
2017-01-08,2yS8SABVQCqpvsmTMH8CgM,at,1298,199
2017-01-08,2Z8WuEywRWYTKe1NybPQEW,at,23469,64
2017-01-08,30t2cItUPY7CvZOup7zptn,at,11710,140
2017-01-08,33B2QbtAj8mbDpwvGTOnBt,at,5749,76
2017-01-08,343YBumqHu19cGoGARUTsd,at,39647,42
2017-01-08,369SOcTvxnm9DWYIzoNzal,at,1357,183
2017-01-08,36qA0yKr7uNfQDFledNkiN,at,5443,171
2017-01-08,3AsAuGTaDQzavZZThyYlop,at,22395,64
2017-01-08,3aWPdd6U1xbsIEGEpUaPyQ,at,1734,182
2017-01-08,3B7udSGy2PfgoCniMSb523,at,12495,125
2017-01-08,3bidbhpOYeV4knp8AIu8Xn,at,1604,193
2017-01-08,3cFsmM51N5zMAuu1nNY4Tw,at,56834,21
2017-01-08,3cNjgVBKTJ1SvKhunrCdVy,at,6924,168
2017-01-08,3CRDbSIZ4r5MsZ0YwxuEkn,at,18915,85
2017-01-08,3D3Tkk0d9UmECpH5Fprmuv,at,12642,107
2017-01-08,3E2Zh20GDCR9B1EYjfXWyv,at,21980,66
2017-01-08,3EmmCZoqpWOTY1g2GBwJoR,at,71146,13
2017-01-08,3erQbQoTqk5pj62Fs1Eoo9,at,1563,145
2017-01-08,3fJua408ovMRQ0JYGepaAY,at,10244,138
2017-01-08,3g62kHCCbNwhEKYywx5Xwz,at,10139,177
2017-01-08,3hB5DgAiMAQ4DzYbsMq1IT,at,12362,132
2017-01-08,3KbCjPkewCmJt09FYtyVK5,at,13793,111
2017-01-08,3N08HLCSwOHhMQKJGIZ7rE,at,10873,122
2017-01-08,3NdDpSvN911VPGivFlV5d0,at,100020,5
2017-01-08,3nmWV4qvKl7rPdX99SyQem,at,2770,180
