artistName	trackID	trackName	rank	streams	frequency	danceability	energy	key	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	isrc	spotifyArtistID	releaseDate	daysSinceRelease	top10	spotifyFollowers	mbid	artistCountry
justin bieber	048thBsGA2IfiubeNWC0v2	I'll Show You	12	3490456	2	0.337	0.615	9	-6.615	0.0937	0.0426	0.0000167	0.193	0.0729	191.541	199973	4	USUM71516758	1uNFoZAHBGtllmzznpCI3s	13.11.2015	506	0	8713999	e0140a67-e4d1-4f13-8a01-364355bee46e	CA
marshmello	04AYgtKFrpldRXe5y0LNGQ	Ritual (feat. Wrabel)	146	1002222	1	0.561	0.946	10	-0.899	0.128	0.00848	0.0000205	0.0635	0.304	109.891	237473	4	USAT21603126	64KEffDW9EtZ1y2vBYgq8T	01.11.2016	152	0	718950	301b45a4-b8b9-410e-8344-4b4eaf96691a	0
drake	04CpzA2BdOLEz7EMp5uwTU	Summers Over Interlude	78	1802012	5	0.688	0.276	4	-8.783	0.0296	0.402	0.00563	0.099	0.256	131.949	106333	3	USCM51600090	3TVXtAsR1Inumwj472S9r4	06.05.2016	331	0	9338907	9fff2f8a-21e6-47de-a2b8-7f449929d43f	CA
hearts & colors	04CttTezSnv71USiiG9mIo	Lighthouse - Andrelli Remix	86	1737890	12	0.595	0.662	11	-6.858	0.0362	0.0178	0	0.0804	0.415	96.053	218447	4	SE4RG1600601	3wjsrpfO6odEphTZWx45RQ	21.11.2016	132	0	39723	32e3baa6-9f20-42c6-9ad0-5ef2454fd3f1	0
kanye west	04mf1OkXHZ6TPBNM9sBcSm	Famous	67	1914768	17	0.472	0.746	6	-3.649	0.119	0.072	0	0.116	0.442	173.955	196040	4	USUM71603020	5K4W6rqBFWDnAN6FQUkS6x	15.06.2016	291	0	4422933	164f0d73-1234-4e2c-8743-d77bf2191051	0
partynextdoor	04sT6xbMnJouAktbkkr4qr	Not Nice	129	1121629	3	0.598	0.496	0	-9.309	0.0804	0.0253	0.00132	0.12	0.722	128.06	202661	4	USWB11601391	2HPaUgqeutzr3jx5a9WyDV	22.07.2016	254	0	619016	f23ef341-33bd-47c1-b83c-846a78581f05	0
carrie underwood	05BgC2247XGi8ySwBzOO0o	Heartbeat	179	761193	2	0.54	0.766	1	-4.478	0.05	0.606	0	0.0903	0.43	139.999	209920	4	GBCTA1500061	4xFUf1FHVy696Q1JQZMTRj	23.10.2015	527	0	1078254	70f0e309-5418-49b6-a130-666e2f76eecd	US
sia	05cXQMJcrM9msUYu11mOrs	Alive	77	1056689	11	0.32	0.752	6	-4.91	0.056	0.289	0.000101	0.102	0.398	98.88	263893	4	USRC11502101	5WUlDfRSoLAfcVSX1WnrxN	24.09.2015	556	0	3462797	2f548675-008d-4332-876c-108b0c7ab9c5	AU
tritonal	05dL7chWJaVjMJnGO1YCKk	Untouchable	120	710168	3	0.542	0.795	7	-3.131	0.0379	0.0664	0.00000289	0.313	0.271	128.959	228837	4	USAT21501361	521qvhdobR0GzhvU6TFw76	18.05.2015	685	0	78216	bbee6bad-1904-460e-b9f7-9e61fc890673	US
partynextdoor	05GvhIvS56t5EBoG8YtyCK	Don't Know How	114	1237363	1	0.64	0.428	8	-6.154	0.0749	0.0454	0.000449	0.171	0.178	110	174049	4	USWB11601397	2HPaUgqeutzr3jx5a9WyDV	05.08.2016	240	0	619016	f23ef341-33bd-47c1-b83c-846a78581f05	0
matthew koma	05t0KI6zFHDSRT9gdLCAyW	So F**kin' Romantic	194	530741	1	0.659	0.851	8	-3.019	0.0506	0.00409	0.047	0.309	0.763	128.023	229735	4	USRC11501792	1mU61l2mcjEFraXZLpvVMo	07.08.2015	604	0	53083	f387841c-9bc7-47e9-b78b-6fb7834ac71f	US
chris brown	05Z7jet4VDNVgNQWcYHnrk	Party	117	1624721	13	0.762	0.576	1	-4.951	0.0829	0.0556	0	0.0869	0.317	142.096	220813	4	USRC11602722	7bXgB6jMjp9ATFy66eO08Z	16.12.2016	107	0	4077185	c234fa42-e6a6-443e-937e-2f4b073538a3	US
robin schulz	06Hdbxh6NCy6TIhjdXTchB	Headlights (feat. Ilsey)	77	893669	4	0.597	0.685	11	-6.371	0.0367	0.0245	0.000335	0.182	0.379	122.002	209208	4	DEA621500407	3t5xRXzsuZmMDkQzgOX35S	17.04.2015	716	0	678200	163218c2-9e0f-4d2d-aecb-ebbdef6aab70	0
charlie puth	06KyNuuMOX1ROXRhj787tj	We Don't Talk Anymore (feat. Selena Gomez)	16	4377100	42	0.728	0.563	1	-8.053	0.134	0.621	0	0.179	0.35	100.017	217707	4	USAT21502909	6VuMaDnrHyPL1p4EHjYLi7	29.01.2016	429	0	1134734	525f1f1c-03f0-4bc8-8dfd-e7521f87631b	US
one direction	07bky96LlghaYmiKPYTY3h	End of the Day	61	1251614	1	0.502	0.594	11	-5.031	0.0365	0.0256	0	0.0834	0.348	153.687	194973	5	GBHMU1500106	4AK6F7OLvEQ5QYCBNiQWHq	09.11.2015	510	0	6272840	1a425bbd-cca4-4b2c-aeb7-71cb176c828a	GB
drake	07GilNHSfS5oicUgHgU7VG	Hype	11	4804759	23	0.79	0.62	7	-8.278	0.195	0.0226	0	0.365	0.258	129.959	209413	4	USCM51600069	3TVXtAsR1Inumwj472S9r4	06.05.2016	331	0	9338907	9fff2f8a-21e6-47de-a2b8-7f449929d43f	CA
carnage	07oiSjg6TiehyOS3pRJo0l	I Like Tuh	145	609740	4	0.598	0.564	1	-3.89	0.0684	0.337	0	0.379	0.568	174.909	187561	4	USUS11203251	7CCjtD0hCK005Bvg2WG1a7	23.02.2015	769	0	115856	da9bd8dc-b9e7-4231-8545-aeab88b67187	US
who is fancy	07rJ9xLSbBKLwJHW73CApr	Boys Like You	115	899174	15	0.731	0.595	0	-5.326	0.0768	0.0855	0	0.116	0.782	104.927	194533	4	USUM71518060	5QSx2vpiSchSeCwc0qmfNI	23.11.2015	496	0	33213	b72b4a4d-64a0-421d-931a-460f4f597db3	US
5 seconds of summer	08N1v3HwtbhYzYRUhnsvJh	Fly Away	103	771532	1	0.421	0.886	2	-3.117	0.0513	0.000699	0	0.136	0.546	92.861	212555	4	GBUM71505162	5Rl15oVamLq7FbSb0NNBNy	14.08.2015	597	0	2221352	830e5c4e-6b7d-431d-86ab-00c751281dc5	AU
jeremih	08zJpaUQVi9FrKv2e32Bah	Planez	59	1381109	36	0.65	0.557	1	-7.762	0.312	0.674	0	0.11	0.416	129.285	240320	4	USUM71517404	3KV3p5EY4AvKxOlhGHORLg	04.12.2015	485	0	868609	1c009a08-74d1-4682-bc56-8bfbe9e66b62	US
justin bieber	09mhA1SJjMHniZPF4Hcihn	Company	10	3758086	30	0.59	0.797	4	-4.901	0.0614	0.132	0	0.0846	0.421	94.948	208120	4	USUM71516762	1uNFoZAHBGtllmzznpCI3s	13.11.2015	506	1	8714004	e0140a67-e4d1-4f13-8a01-364355bee46e	CA
brenda lee	09OojFvtrM9YRzRjnXqJjA	Rockin' Around The Christmas Tree - Rerecorded Version	105	999479	3	0.682	0.641	8	-8.915	0.0386	0.568	0	0.224	0.831	141.002	126146	4	USWB19903772	4cPHsZM98sKzmV26wlwD2W	13.09.1991	1000	0	36826	6ca4886a-8f77-4133-b404-46fb3908e24a	0
logic	0aAk9KMmPChiS2EG9Fg7IX	Never Been	145	788626	1	0.461	0.784	10	-6.21	0.0628	0.0995	0.00000771	0.585	0.647	100.076	247133	4	USUM71516285	4xRYI6VqpkE3UwrDrAZL8L	13.11.2015	506	0	941252	713e751f-3ddb-4b77-b3b1-9e6f2e953ad5	US
drake	0AAyo5bMIVgVxv9DF6XV2B	Keep The Family Close	44	2963606	8	0.302	0.565	9	-7.663	0.073	0.137	0	0.381	0.204	76.278	328907	4	USCM51600061	3TVXtAsR1Inumwj472S9r4	06.05.2016	331	0	9338907	9fff2f8a-21e6-47de-a2b8-7f449929d43f	CA
ed sheeran	0afhq8XCExXpqazXczTSve	Galway Girl	7	7174831	2	0.624	0.876	9	-3.374	0.1	0.0735	0	0.327	0.767	99.943	170827	4	GBAHS1700026	6eUKZXaKkcviH0Ku9w2n3V	03.03.2017	30	1	8493371	b8a7c51f-362c-4dcb-a259-bc6e0095f0a6	GB
shawn mendes	0AgAOnISeJ88aPDAKtat98	Don't Be A Fool	162	1018747	1	0.472	0.33	11	-5.892	0.044	0.627	0	0.0938	0.267	175.223	215773	3	USUM71603532	7n2wHs1TKAczGzO7Dd2rGr	23.09.2016	191	0	2944933	b7d92248-97e3-4450-8057-6fe06738f735	CA
the game	0aJ6PIOxiWnhCRGBPFJzgG	All Eyez (feat. Jeremih)	160	1023049	5	0.419	0.655	0	-6.679	0.247	0.0571	0	0.0962	0.349	76.835	215297	3	USKO11601089	0NbfKEOTQCcwd6o7wSDOHI	20.06.2016	286	0	784996	baec7ed1-32d7-482d-9455-33c403e61952	GB
russ	0AjrdcjDF0nrsoTzOFdXUv	What They Want	139	1016648	6	0.827	0.419	1	-10.114	0.332	0.448	0.00000125	0.0964	0.457	140.062	165930	4	TCACH1598098	1z7b1Pr1rSlvWRzsW3HOrS	20.08.2015	591	0	350812	9ddf4b19-dd14-45d9-b056-49541b16dc80	US
calvin harris	0azC730Exh71aQlOt9Zj3y	This Is What You Came For	4	6356244	41	0.63	0.928	9	-2.787	0.0331	0.199	0.124	0.148	0.46	123.963	222160	4	GBARL1600460	7CajNmpbOovFoOoasH2HaY	29.04.2016	338	1	5881664	8dd98bdc-80ec-4e93-8509-2f46bafc09a7	GB
snakehips	0B2RttXEiyXsMeQ7mMP3EI	Cruel	176	867349	1	0.603	0.879	5	-4.098	0.124	0.0184	0	0.156	0.307	110.125	228253	4	GBARL1600613	2FwJwEswyIUAljqgjNSHgP	15.07.2016	261	0	120078	7bb5fb65-f82c-44e2-80e2-e0e49cd6ffd5	GB
drake	0B5OTb36fzLayn6XQHg5A1	Scholarships	33	1955668	19	0.557	0.422	0	-9.184	0.355	0.0958	0.00000841	0.102	0.278	108.937	209288	4	USCM51500296	3TVXtAsR1Inumwj472S9r4	25.09.2015	555	0	9338907	9fff2f8a-21e6-47de-a2b8-7f449929d43f	CA
the chainsmokers	0B8B8cVRFIG1yznoQe7c9s	Setting Fires	31	2905292	15	0.627	0.717	8	-5.751	0.0376	0.017	0	0.261	0.569	105.05	247427	4	USQX91602152	69GGBxA162lTqCwzJG5jLp	04.11.2016	149	0	2287116	91a81925-92f9-4fc9-b897-93cf01226282	US
lil uzi vert	0B8QzDH7YWih85V5SEMnyJ	Money Longer	39	2843189	42	0.795	0.568	5	-7.817	0.142	0.0541	0	0.108	0.47	136.173	198944	4	USAT21600660	4O15NlyKLIASxsJ0PrXPfz	01.04.2016	366	0	793847	8837b875-3689-4646-b3fd-d8b53815c7a8	0
florida georgia line	0BCy325UZyR9z0t0uxwn2N	H.O.L.Y.	94	1413585	12	0.525	0.685	7	-3.954	0.0351	0.385	0	0.0731	0.522	78.003	194187	4	QM3E21602008	3b8QkneNDz4JHKKKlLgYZg	26.08.2016	219	0	723043	c16817df-0160-490d-a437-c128cbca9218	US
nav	0bGVqUPZZ2owtWEyzIggQI	Some Way	87	1982574	1	0.742	0.704	7	-6.161	0.316	0.0952	0	0.0805	0.339	154.907	178064	4	USUM71701371	7rkW85dBwwrJtlHRDkJDAC	15.02.2017	46	0	55696	418fe547-4bec-48fe-8df0-ed25e27f4570	0
meek mill	0bLwBXrMd3z96utPHeuQDK	On The Regular	88	1428038	1	0.781	0.764	2	-3.252	0.164	0.0175	0	0.102	0.352	146.03	184110	4	USAT21603035	20sxb77xiYeusSH8cVdatc	28.10.2016	156	0	853329	31bcadcc-e1da-4cad-bec8-2f4f1d41b095	US
børns	0BRbWiAn3TVprsotudFRvZ	Electric Love	79	1045537	1	0.611	0.804	6	-7.592	0.0545	0.00431	0.000633	0.2	0.522	120.032	218107	4	USUM71416307	1KP6TWI40m7p3QBTU6u2xo	10.11.2014	874	0	303447	b2befbb4-c585-4b05-8efa-3deebc8e1385	0
kodak black	0BU7nIcCZxYSE0hYcc5oZz	Too Many Years	64	2015122	24	0.665	0.706	8	-6.859	0.0958	0.0237	0	0.112	0.645	147.067	196336	4	USUYG1104623	46SHBwWsqBkxI7EeeBEQG7	10.06.2016	296	0	638288	5ec1ecc6-4535-4911-a27a-e26343f4a189	0
mariah carey	0bYg9bo50gSsH3LtXe2SQn	All I Want for Christmas Is You	17	3385667	9	0.335	0.625	7	-7.462	0.0386	0.164	0	0.0708	0.334	150.277	241107	4	USSM19400325	4iHNK0tOyZPYnBU7nGAgpQ	10.02.2010	1000	0	1216300	494e8d09-f85b-4543-892f-a5096aed1cd4	US
logic	0cdXG7PwSUOv19gF6dMv5n	illuminatro	176	890504	1	0.424	0.283	8	-17.517	0.221	0.61	0.316	0.391	0.186	81.356	48133	5	USUM71605668	4xRYI6VqpkE3UwrDrAZL8L	01.07.2016	275	0	941252	713e751f-3ddb-4b77-b3b1-9e6f2e953ad5	US
maty noyes	0ckCyt1ghA2YpcLRm1q68s	in my miNd	65	1955937	13	0.764	0.631	0	-3.814	0.0251	0.461	0	0.0413	0.769	102.074	212027	4	USUM71605214	5JSXWmQO8csVUy6hSRu8TA	08.07.2016	268	0	20111	61e8c00d-72b0-4a23-b0aa-5fe90a1f9968	US
young m.a.	0D21XvHcVsIvJM6FcGY2BT	OOOUUU	18	3831260	32	0.64	0.819	7	-4.108	0.455	0.533	0	0.156	0.624	166.012	234526	4	US6YF1600026	7LvoDJUNGnOrPdGRzVtOJ9	20.05.2016	317	0	185160	1d6b30fe-1565-4a6c-b9e7-3ffa76f6514f	US
zedd	0dA2Mk56wEzDgegdC6R17g	Stay (with Alessia Cara)	12	6166993	2	0.679	0.634	5	-5.024	0.0654	0.232	0	0.115	0.503	102.013	210091	4	USUM71700736	2qxJFvFYMEDqd7ui6kSAcq	23.02.2017	38	0	1220844	56c4b861-0922-4c3a-a9b9-3bfcb00f8274	DE
french montana	0Di26AbdtizzHkFstPyt7A	No Shopping	54	2144917	18	0.895	0.491	10	-10.261	0.246	0.0144	0.000988	0.143	0.258	83.505	227727	4	USSM11604661	6vXTefBL93Dj5IqAWq6OTv	24.02.2017	37	0	530833	45dc5f07-6609-4760-a933-8c9e0f858d05	0
jp cooper	0DNk7lEqDGCN6nDD0H8emF	September Song	175	901184	2	0.623	0.656	0	-5.608	0.0416	0.0561	0	0.0855	0.371	95.878	220291	4	GBUM71604513	4kYGAK2zu9EAomwj3hXkXy	16.09.2016	198	0	50273	be1f10dc-3b88-48e6-baa7-95aea6abf2f6	GB
brett eldredge	0dwudL6pM7zLO7MSUxMUYd	Lose My Mind	156	596999	6	0.68	0.755	6	-5.509	0.029	0.0206	0	0.21	0.837	101.048	155440	4	USAT21501047	0qSX3s5pJnAlSsgsCne8Cz	21.04.2015	712	0	165420	46510d46-ce20-4dde-b9ea-207e474353f4	US
the neighbourhood	0EfsDEYaSjGYd66Pr881nq	Cry Baby	179	634376	1	0.581	0.656	4	-4.891	0.0294	0.00269	0.00000278	0.101	0.334	108.033	235160	4	USSM11506744	77SW9BnxLY8rJ0RciFqkHh	30.10.2015	520	0	1138047	97b8d224-5660-419c-8dff-4b3bf0c33983	US
j. cole	0eneujAc4PxkdjP25Gsue1	False Prophets	130	1470954	2	0.73	0.747	8	-9.496	0.324	0.698	0.0000163	0.152	0.757	90.039	237427	4	QMJMT1601098	6l3HvQ5sa6mXTsMTB19rO5	06.12.2016	117	0	2637926	875203e1-8e58-4b86-8dcb-7190faf411c5	US
adele	0ENSn4fwAbCGeFGVUbXEU3	Hello	1	17646156	35	0.481	0.451	5	-6.095	0.0347	0.336	0	0.0872	0.287	157.966	295493	4	GBBKS1500214	4dpARuHxo51G3z768sgnrY	20.11.2015	499	1	6023366	cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493	GB
travis scott	0ESJlaM8CE1jRWaNtwSNj8	beibs in the trap	126	1587618	10	0.743	0.571	7	-6.054	0.145	0.24	0	0.291	0.497	119.054	213863	4	USSM11607551	0Y5tJX1MQlPlqiwlOH1tJY	16.09.2016	198	0	852844	e4a51f17-a57b-47b1-b37b-f552d0f8e9e6	US
the low down	0EwcHsy6FsFHxtA5dI7Ull	Just for the Night	175	852991	1	0.743	0.302	0	-13.873	0.116	0.374	0	0.381	0.291	129.944	135445	4	TCACN1603975	7BaOGj1Tm9WcFYVwSNqjrO	17.03.2016	381	0	588	a1ee653e-05c9-400e-9582-d8d5e6d6a6f1	US
lady gaga	0EXCM7BBtzXO3HdqkNIQUS	Hey Girl	175	910422	1	0.753	0.461	10	-7.898	0.0406	0.0516	0.00000515	0.0668	0.603	138.048	255413	4	USUM71609737	1HY2Jd0NmPuamShAr6KMms	21.10.2016	163	0	2661571	650e7db6-b795-4eb5-a702-5ea2fc46c848	US
david bowie	0F0MA0ns8oXwGw66B2BSXm	Let's Dance - 1999 Remastered Version	95	1053715	1	0.619	0.703	10	-9.414	0.0525	0.00388	0.205	0.163	0.708	115.043	457133	4	USJT19900185	0oSGxfWSnnOXhD2fKuz2Gy	19.01.1998	1000	0	1719086	5441c29d-3602-4898-b1a1-b77fa23b8e50	GB
maty noyes	0F1Rc18rZcJOALxIIQPTYd	in my miNd	115	1309215	5	0.768	0.632	0	-3.807	0.0254	0.45	0	0.0449	0.777	102.061	212027	4	USUM71605214	5JSXWmQO8csVUy6hSRu8TA	08.07.2016	268	0	20111	61e8c00d-72b0-4a23-b0aa-5fe90a1f9968	US
future	0FA8Pw164j1qW4YEfpaVRy	Rotation	131	688701	1	0.836	0.371	1	-7.092	0.348	0.124	0.128	0.153	0.272	156.98	167613	4	USSM11505582	1RyvyyTE3xzB2ZywiAwp0i	17.07.2015	625	0	2423157	48262e82-db9f-4a92-b650-dfef979b73ec	0
david bowie	0Fao855T3klV3REFRFHRF3	Blackstar	118	899139	1	0.366	0.552	6	-8.35	0.0317	0.206	0.0595	0.178	0.108	97.98	597933	4	USRF31500001	0oSGxfWSnnOXhD2fKuz2Gy	21.11.2015	498	0	1719086	5441c29d-3602-4898-b1a1-b77fa23b8e50	GB
coldplay	0FDzzruyVECATHXKHFs9eJ	A Sky Full of Stars	155	834973	3	0.551	0.636	6	-7.125	0.0281	0.00713	0.00203	0.217	0.163	124.996	268467	4	GBAYE1400217	4gzpq5DPGxSnKTe4SA8HAU	02.05.2014	1000	0	7041428	cc197bad-dc9c-440d-a5b5-d52ba2e14234	GB
ed sheeran	0FE9t6xYkqWXU2ahLh6D8X	Shape of You	1	11079982	8	0.825	0.652	1	-3.183	0.0802	0.581	0	0.0931	0.933	95.977	233713	4	GBAHS1600463	6eUKZXaKkcviH0Ku9w2n3V	06.01.2017	86	1	8493371	b8a7c51f-362c-4dcb-a259-bc6e0095f0a6	GB
wiz khalifa	0FFLIz3Tl2A85Dhsa7ayrT	Call Waiting	196	735983	1	0.726	0.602	8	-6.475	0.0383	0.113	0	0.0864	0.639	89.007	240451	4	USAT21600256	137W8MRPWKqSmrBGDBFSop	05.02.2016	422	0	4212220	f5dfa020-ad69-41cd-b3d4-fd7af0414e94	0
major lazer	0fg8CqpjdojMyXLNzM2PaJ	Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)	26	3340125	7	0.803	0.743	1	-3.602	0.0681	0.105	0.00000212	0.099	0.68	108.005	203180	4	QMUY41600121	738wLrAtLtCtFOLvQBXOXp	28.01.2017	64	0	1714859	75be165a-ad83-4d12-bd28-f589a15c479f	0
omarion	0fgZUSa7D7aVvv3GfO0A1n	Post To Be (feat. Chris Brown & Jhene Aiko)	25	2035977	30	0.733	0.676	10	-5.655	0.0432	0.0697	0	0.208	0.717	97.448	226581	4	USAT21404845	0f5nVCcR06GX8Qikz0COtT	11.11.2014	873	0	367376	3ca09fae-fdee-4771-bab9-244708515a98	US
dillon francis	0fMMtO0pOYIGWfbJmrqfVJ	Anywhere	196	922472	1	0.795	0.642	8	-4.089	0.0425	0.0266	0.000012	0.0805	0.616	115.009	177596	4	USSM11607313	5R3Hr2cnCCjt220Jmt2xLf	16.09.2016	198	0	353820	1c294418-722f-45a3-a24d-910f9b6f1502	US
jp cooper	0FuTx2s3YH1ppmtiM6l0zI	September Song	97	1862361	3	0.623	0.654	0	-5.675	0.0372	0.0545	0	0.0838	0.396	95.921	220291	4	GBUM71604513	4kYGAK2zu9EAomwj3hXkXy	16.09.2016	198	0	50273	be1f10dc-3b88-48e6-baa7-95aea6abf2f6	GB
big sean	0Fv5N0cHBsl4bzCbollCAS	Moves	10	5482859	6	0.789	0.53	2	-6.2	0.293	0.0541	0	0.164	0.381	75.515	142907	4	USUM71615597	0c173mlxpT3dSFRgMO8XPh	03.02.2017	58	1	1975532	942a9807-9c1a-4a0e-a285-1fde2c5be9d1	0
ariana grande	0fwl4utqKorwZfPwmVei3J	Touch It	152	1031997	1	0.287	0.7	7	-4.326	0.0499	0.0338	0	0.18	0.337	202.317	260000	4	USUM71602114	66CXWjxzNUsdJxJ2JdwvnR	20.05.2016	317	0	5782028	f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387	US
x ambassadors	0fYVliAYKHuPmECRs1pbRf	Renegades	27	2261880	41	0.4	0.868	11	-5.988	0.203	0.0112	0.0685	0.27	0.567	180.261	195199	4	USUM71502643	3NPpFNZtSTHheNBaWC82rB	30.06.2015	642	0	408699	298f4089-1948-44b5-b5e8-d5381f42362f	US
dj snake	0g5EKLgdKvNlln7TNqBByK	Middle	62	1974024	1	0.586	0.701	1	-5.326	0.0416	0.0203	0	0.055	0.226	104.957	220573	4	USUM71515784	540vIaP2JwjQb9dm3aArA4	05.08.2016	240	0	1024818	31445b1e-96f3-4c7f-84ec-dd02e647e690	FR
galantis	0gb1J5UrTpzaU1s3nupgCd	No Money	30	2910836	26	0.671	0.916	6	-4.014	0.0397	0.0282	0.00762	0.24	0.804	126.01	189127	4	USAT21600941	4sTQVOfp9vEMCemLw50sbu	01.04.2016	366	0	712510	a7229e38-bab7-48c1-9f35-9b4c49738b0f	SE
the weeknd	0Gi17qCJh9e9RJxLaYkm9l	Dark Times	18	2693356	23	0.585	0.421	7	-9.593	0.0707	0.106	0.00000954	0.14	0.236	132.986	260640	3	USUG11500929	1Xyo4u8uXC1ZmMpatF05PJ	28.08.2015	583	0	5418891	c8b03190-306c-4120-bb0b-6f2ebfc06ea9	CA
drake	0GR7iJLhj80KD5LkA14ZRn	Digital Dash	26	2099583	20	0.893	0.542	2	-7.676	0.13	0.00323	0.0000033	0.235	0.31	140.028	231231	4	USCM51500292	3TVXtAsR1Inumwj472S9r4	25.09.2015	555	0	9338907	9fff2f8a-21e6-47de-a2b8-7f449929d43f	CA
john mayer	0GWS6wkQrqZd0BAhq28haq	Changing	132	1359284	1	0.349	0.338	0	-7.793	0.0292	0.62	0.00799	0.128	0.399	182.842	213933	3	USSM11610640	0hEurMDQu99nJRq8pTxO14	20.01.2017	72	0	2117777	144ef525-85e9-40c3-8335-02c32d0861f3	US
chris young	0H04yVa3DJxoXbLBpAb7iV	I'm Comin' Over	159	750137	1	0.575	0.845	10	-3.838	0.035	0.0282	0	0.0814	0.357	127.997	197280	4	USRN11400703	4BYxqVkZyFjtik7crYLg5Q	13.11.2015	506	0	408366	0fa06365-1a08-4ea8-b522-01b24f26eac1	0
bon iver	0H2MmFtJgoeywCIbAN3sid	715 - CR∑∑KS	116	1232754	1	0.461	0.161	8	-11.145	0.405	0.878	0	0.17	0.365	88.781	132000	3	US38Y1630003	4LEiUm1SRbFMgfqnQTwUbQ	30.09.2016	184	0	1601315	437a0e49-c6ae-42f6-a6c1-84f25ed366bc	US
