downloadsSD	academyAward	customerRating	downloadsHD	movieID	genre
3879	1	4	2338	118	4
2342	0	2	2264	119	4
2217	1	4	2251	120	4
2652	1	4	2330	121	4
1158	0	4	1217	122	4
1530	0	3	1027	123	4
2264	0	4	1889	124	4
1081	0	3	1083	125	4
2585	0	3	1842	126	4
1328	0	2	722	127	4
2043	1	2	1727	128	4
2663	0	5	1674	129	4
3956	1	5	2237	130	4
2346	0	4	1775	131	4
852	0	1	2641	132	4
4285	1	5	3206	133	4
824	0	1	770	134	4
2986	1	1	1614	135	4
4438	1	4	3010	136	4
1026	0	1	1431	137	4
3599	1	5	3409	138	4
3618	1	5	1926	139	4
2424	1	4	1820	140	4
3120	0	4	1817	141	4
1063	0	1	822	142	4
3372	0	5	1687	143	4
3156	1	4	2714	144	4
4100	1	3	2745	145	4
5030	1	3	2073	146	4
2459	0	4	1455	147	4
2275	1	2	1688	148	4
4339	1	2	2031	149	4
3909	1	4	1293	150	4
2478	1	5	1290	151	4
3612	1	5	1854	152	4
2711	0	5	2303	153	4
3081	1	3	2788	154	4
4121	1	5	3859	155	4
994	0	2	1879	156	4
2683	1	3	2117	157	4
3636	0	5	1411	158	4
2878	0	3	1550	159	4
2113	0	3	1772	160	4
3269	1	3	1942	161	4
1620	1	5	2273	162	4
2033	0	4	1517	163	4
3504	1	4	1252	164	4
3027	1	5	2591	165	4
4245	1	5	2001	166	5
2896	0	4	1470	167	5
2401	1	3	1359	168	5
2262	1	3	2700	169	5
2001	1	1	2501	170	5
3646	1	5	1920	171	5
3604	1	3	1374	172	5
2988	0	5	1106	173	5
3632	0	5	1251	174	5
5323	1	5	998	175	5
3456	1	5	2329	176	5
2458	0	3	1874	177	5
3343	1	2	2812	178	5
3029	0	5	1693	179	5
2450	1	5	1602	180	5
3752	1	3	1922	181	5
2709	0	4	2351	182	5
4366	1	5	2590	183	5
2877	1	5	2731	184	5
4794	1	2	2713	185	5
3434	0	5	990	186	5
4475	1	4	1854	187	5
2965	0	5	411	188	5
1377	0	3	1962	189	5
3831	1	4	2018	190	5
3055	0	5	2351	191	5
4017	1	5	845	192	5
3334	0	5	2015	193	5
2555	1	4	1952	194	5
3208	1	3	1154	195	5
3445	1	4	1347	196	5
4243	1	5	2862	197	5
2522	0	5	748	198	5
2547	0	4	1414	199	5
1591	1	4	1968	200	5
