week,region,streams
2017-01-22,at,5710706
2017-01-22,au,52613635
2017-01-22,be,8703393
2017-01-22,bg,145227
2017-01-22,bo,1359032
2017-01-22,br,101614603
2017-01-22,ca,50625828
2017-01-22,ch,7776297
2017-01-22,cl,34046552
2017-01-22,co,15303095
2017-01-22,cr,6295898
2017-01-22,cz,3209906
2017-01-22,de,97122300
2017-01-22,dk,27724007
2017-01-22,do,2595399
2017-01-22,ec,5548204
2017-01-22,ee,481101
2017-01-22,es,67826116
2017-01-22,fi,21866151
2017-01-22,fr,49439383
2017-01-22,gb,126640715
2017-01-22,global,1310167301
2017-01-22,gr,883038
2017-01-22,gt,2869007
2017-01-22,hk,5263238
2017-01-22,hn,1523148
2017-01-22,hu,2263315
2017-01-22,id,18079461
2017-01-22,ie,11153595
2017-01-22,is,900588
2017-01-22,it,33059142
2017-01-22,jp,3332517
2017-01-22,lt,641547
2017-01-22,lu,98695
2017-01-22,lv,580368
2017-01-22,mt,239879
2017-01-22,mx,105796225
2017-01-22,my,10609819
2017-01-22,ni,202073
2017-01-22,nl,54725842
2017-01-22,no,33025693
2017-01-22,nz,13921178
2017-01-22,pa,2190704
2017-01-22,pe,14970917
2017-01-22,ph,63076244
2017-01-22,pl,13362554
2017-01-22,pt,8060102
2017-01-22,py,2496060
2017-01-22,se,59964443
2017-01-22,sg,13015864
2017-01-22,sk,551519
2017-01-22,sv,1192941
2017-01-22,tr,13132549
2017-01-22,tw,7169214
2017-01-22,us,424685581
2017-01-22,uy,3740270
2017-01-29,ar,48737551
2017-01-29,at,5863767
2017-01-29,au,54543472
2017-01-29,be,8697154
2017-01-29,bg,148804
2017-01-29,bo,1519453
2017-01-29,br,103519821
2017-01-29,ca,50690101
2017-01-29,ch,8027162
2017-01-29,cl,35955724
2017-01-29,co,16312631
2017-01-29,cr,6498674
2017-01-29,cz,3326858
2017-01-29,de,99883514
2017-01-29,dk,28057125
2017-01-29,do,2716024
2017-01-29,ec,5508519
2017-01-29,ee,478009
2017-01-29,es,69471251
2017-01-29,fi,22862324
2017-01-29,fr,51138462
2017-01-29,gb,126869174
2017-01-29,global,1341531583
2017-01-29,gr,900738
2017-01-29,gt,2979973
2017-01-29,hk,5028546
2017-01-29,hn,1614860
2017-01-29,hu,2344848
2017-01-29,id,18305971
2017-01-29,ie,11287316
2017-01-29,is,954245
2017-01-29,it,34862014
2017-01-29,jp,3632574
2017-01-29,lt,635433
2017-01-29,lu,99032
2017-01-29,lv,561525
2017-01-29,mt,259629
2017-01-29,mx,110385521
2017-01-29,my,9800726
2017-01-29,ni,239701
2017-01-29,nl,56206723
2017-01-29,no,34003021
2017-01-29,nz,13748957
2017-01-29,pa,2335851
2017-01-29,pe,17093065
2017-01-29,ph,63394235
2017-01-29,pl,13390299
2017-01-29,pt,8519629
2017-01-29,py,2688650
2017-01-29,se,60842736
2017-01-29,sg,12707541
2017-01-29,sk,590259
2017-01-29,sv,1307068
2017-01-29,tr,13926241
2017-01-29,tw,6495071
2017-01-29,us,446362951
2017-01-29,uy,3813855
2017-02-05,ar,48165977
2017-02-05,at,5818891
2017-02-05,au,55069271
2017-02-05,be,8707171
2017-02-05,bg,140284
2017-02-05,bo,1584334
2017-02-05,br,104718211
2017-02-05,ca,50420212
2017-02-05,ch,7986017
2017-02-05,cl,36209992
2017-02-05,co,16948692
2017-02-05,cr,6568856
2017-02-05,cz,3269267
2017-02-05,de,98486523
2017-02-05,dk,28121541
2017-02-05,do,2770934
2017-02-05,ec,5491463
2017-02-05,ee,475267
2017-02-05,es,68333507
2017-02-05,fi,23097684
2017-02-05,fr,52178396
2017-02-05,gb,124432824
2017-02-05,global,1337132839
2017-02-05,gr,890011
2017-02-05,gt,3042479
2017-02-05,hk,5477553
2017-02-05,hn,1685494
2017-02-05,hu,2413354
2017-02-05,id,18522766
2017-02-05,ie,10990120
2017-02-05,is,929753
2017-02-05,it,36339641
2017-02-05,jp,3480168
2017-02-05,lt,619746
2017-02-05,lu,113125
2017-02-05,lv,586717
2017-02-05,mt,261117
2017-02-05,mx,112937524
2017-02-05,my,10694334
2017-02-05,ni,259944
2017-02-05,nl,56375542
2017-02-05,no,33999180
2017-02-05,nz,13481837
2017-02-05,pa,2297778
2017-02-05,pe,19043087
2017-02-05,ph,64096030
2017-02-05,pl,13112945
2017-02-05,pt,8396089
2017-02-05,py,2541673
2017-02-05,se,60719187
2017-02-05,sg,13753610
2017-02-05,sk,577338
2017-02-05,sv,1333775
2017-02-05,tr,14267886
2017-02-05,tw,7368920
2017-02-05,us,446611950
2017-02-05,uy,3596031
2017-02-12,ar,48334357
2017-02-12,at,5825375
2017-02-12,au,55859005
2017-02-12,be,9139487
2017-02-12,bg,161597
2017-02-12,bo,1605285
2017-02-12,br,108174635
2017-02-12,ca,52706505
2017-02-12,ch,8121373
2017-02-12,cl,35265128
2017-02-12,co,16851600
2017-02-12,cr,6868965
2017-02-12,cz,3426541
2017-02-12,de,98673725
2017-02-12,dk,27730823
2017-02-12,do,2787558
2017-02-12,ec,5375683
2017-02-12,ee,480587
2017-02-12,es,68774616
2017-02-12,fi,22691735
2017-02-12,fr,54529340
2017-02-12,gb,125812500
2017-02-12,global,1367254496
2017-02-12,gr,831052
2017-02-12,gt,3109557
2017-02-12,hk,5494479
2017-02-12,hn,1720314
2017-02-12,hu,2469882
2017-02-12,id,18573397
2017-02-12,ie,11074674
2017-02-12,is,958944
2017-02-12,it,40275664
2017-02-12,jp,3614499
2017-02-12,lt,624164
2017-02-12,lu,134193
2017-02-12,lv,628210
2017-02-12,mt,271043
2017-02-12,mx,116519412
2017-02-12,my,11254573
2017-02-12,ni,271552
2017-02-12,nl,57558343
2017-02-12,no,36647760
2017-02-12,nz,13532842
2017-02-12,pa,2299431
2017-02-12,pe,19594017
2017-02-12,ph,63316949
2017-02-12,pl,13043383
2017-02-12,pt,8513680
2017-02-12,py,2621139
2017-02-12,se,66030167
2017-02-12,sg,13997798
2017-02-12,sk,591451
2017-02-12,sv,1325974
2017-02-12,tr,13882827
2017-02-12,tw,7519830
2017-02-12,us,459244530
2017-02-12,uy,3543414
2017-02-19,ar,49135932
2017-02-19,at,5980088
2017-02-19,au,56787139
2017-02-19,be,9290147
2017-02-19,bg,197568
2017-02-19,bo,1592260
2017-02-19,br,110824878
2017-02-19,ca,53691520
2017-02-19,ch,8590750
2017-02-19,cl,35243055
2017-02-19,co,16722164
2017-02-19,cr,7163988
2017-02-19,cz,3678577
2017-02-19,de,99279017
2017-02-19,dk,28045702
2017-02-19,do,2813675
2017-02-19,ec,5135030
2017-02-19,ee,501831
2017-02-19,es,69157778
2017-02-19,fi,22044052
2017-02-19,fr,52372496
2017-02-19,gb,131700289
2017-02-19,global,1189140309
2017-02-19,gr,918457
2017-02-19,gt,3281400
2017-02-19,hk,5648343
2017-02-19,hn,1807116
2017-02-19,hu,2703065
2017-02-19,id,20123936
2017-02-19,ie,11944656
2017-02-19,is,898385
2017-02-19,it,37909807
2017-02-19,jp,3707055
2017-02-19,lt,685936
2017-02-19,lu,153437
2017-02-19,lv,704137
2017-02-19,mt,347374
2017-02-19,mx,118776025
2017-02-19,my,11858837
2017-02-19,ni,308129
2017-02-19,nl,56641457
2017-02-19,no,37837629
2017-02-19,nz,13893408
2017-02-19,pa,2338491
2017-02-19,pe,20005882
2017-02-19,ph,64291296
2017-02-19,pl,13690291
2017-02-19,pt,8526174
2017-02-19,py,2563203
2017-02-19,se,66757766
2017-02-19,sg,14461672
2017-02-19,sk,758784
2017-02-19,sv,1372074
2017-02-19,tr,14364909
2017-02-19,tw,8090987
2017-02-19,us,469574787
2017-02-19,uy,3669783
2017-02-26,ar,48148332
2017-02-26,at,6193209
2017-02-26,au,60999096
2017-02-26,be,10276935
2017-02-26,bg,231671
2017-02-26,bo,1332973
2017-02-26,br,104953695
2017-02-26,ca,58134338
2017-02-26,ch,9093910
2017-02-26,cl,38297438
2017-02-26,co,16587110
2017-02-26,cr,7150820
2017-02-26,cz,3928858
2017-02-26,de,103896419
2017-02-26,dk,30007216
2017-02-26,do,2810024
2017-02-26,ec,5070396
2017-02-26,ee,612109
2017-02-26,es,71927704
2017-02-26,fi,23827523
2017-02-26,fr,51519793
2017-02-26,gb,152947625
2017-02-26,global,1470022202
2017-02-26,gr,995376
2017-02-26,gt,3269774
2017-02-26,hk,6026073
2017-02-26,hn,1836017
2017-02-26,hu,2906548
2017-02-26,id,21611896
2017-02-26,ie,13025002
2017-02-26,is,1119341
2017-02-26,it,38802589
2017-02-26,jp,4030447
2017-02-26,lt,785435
2017-02-26,lu,199058
2017-02-26,lv,758234
2017-02-26,mt,423729
2017-02-26,mx,119466338
2017-02-26,my,12613923
2017-02-26,ni,300511
2017-02-26,nl,58723141
2017-02-26,no,38377435
2017-02-26,nz,15481679
2017-02-26,pa,2020495
2017-02-26,pe,19577628
2017-02-26,ph,67964964
2017-02-26,pl,14456774
2017-02-26,pt,8740299
2017-02-26,py,2615506
2017-02-26,se,74623078
2017-02-26,sg,15001225
2017-02-26,sk,842294
2017-02-26,sv,1421262
2017-02-26,tr,14281561
2017-02-26,tw,8168048
2017-02-26,us,488913171
2017-02-26,uy,3531610
2017-03-05,ar,48075119
2017-03-05,at,6530977
2017-03-05,au,67126132
2017-03-05,be,10298311
2017-03-05,bg,293544
2017-03-05,bo,1528359
2017-03-05,br,110772977
2017-03-05,ca,62724195
2017-03-05,ch,9756706
2017-03-05,cl,38869261
2017-03-05,co,16796942
2017-03-05,cr,7296719
2017-03-05,cz,4223799
2017-03-05,de,109856718
2017-03-05,dk,31076929
2017-03-05,do,2825287
2017-03-05,ec,5323948
2017-03-05,ee,741881
2017-03-05,es,75058058
2017-03-05,fi,24186149
2017-03-05,fr,52685945
2017-03-05,gb,179648779
2017-03-05,global,1609250897
2017-03-05,gr,1097354
2017-03-05,gt,3198776
2017-03-05,hk,6262311
2017-03-05,hn,1933529
2017-03-05,hu,3002986
2017-03-05,id,22113213
2017-03-05,ie,15300873
2017-03-05,is,1434713
2017-03-05,it,39516826
2017-03-05,jp,4269430
2017-03-05,lt,786068
2017-03-05,lu,232047
2017-03-05,lv,795073
2017-03-05,mt,517405
2017-03-05,mx,119682146
2017-03-05,my,13161370
2017-03-05,ni,299895
2017-03-05,nl,68081164
2017-03-05,no,40187453
2017-03-05,nz,16988426
2017-03-05,pa,2232383
2017-03-05,pe,19299440
2017-03-05,ph,73006566
2017-03-05,pl,15271925
2017-03-05,pt,9667028
2017-03-05,py,2817932
2017-03-05,se,78206599
2017-03-05,sg,15836007
2017-03-05,sk,928712
2017-03-05,sv,1460137
2017-03-05,tr,14014855
2017-03-05,tw,8712040
2017-03-05,us,522319180
2017-03-05,uy,3581489
2017-03-12,ar,46054793
2017-03-12,at,6226134
2017-03-12,au,62893444
2017-03-12,be,10839518
2017-03-12,bg,230853
2017-03-12,bo,1490259
2017-03-12,br,109138292
2017-03-12,ca,57345670
2017-03-12,ch,9618310
2017-03-12,cl,39301624
2017-03-12,co,16510197
2017-03-12,cr,7092789
2017-03-12,cz,3954290
2017-03-12,de,107695002
2017-03-12,dk,30464136
2017-03-12,do,2698172
2017-03-12,ec,5231895
2017-03-12,ee,620741
2017-03-12,es,72017298
2017-03-12,fi,24048911
2017-03-12,fr,53195182
2017-03-12,gb,157889949
2017-03-12,global,1512998567
2017-03-12,gr,965076
2017-03-12,gt,3022000
2017-03-12,hk,5933785
2017-03-12,hn,1740652
2017-03-12,hu,2819538
2017-03-12,id,21536817
2017-03-12,ie,12911650
2017-03-12,is,1458899
2017-03-12,it,38597210
2017-03-12,jp,4193060
2017-03-12,lt,717641
2017-03-12,lu,224075
2017-03-12,lv,729854
2017-03-12,mt,430281
2017-03-12,mx,117293767
2017-03-12,my,12632208
2017-03-12,ni,297194
2017-03-12,nl,71250491
2017-03-12,no,40243191
2017-03-12,nz,16153186
2017-03-12,pa,2195587
2017-03-12,pe,18325986
2017-03-12,ph,70955385
2017-03-12,pl,14192264
2017-03-12,pt,9527286
2017-03-12,py,2644666
2017-03-12,se,77844328
2017-03-12,sg,15376373
2017-03-12,sk,821026
2017-03-12,sv,1377825
2017-03-12,tr,13711643
2017-03-12,tw,8599907
2017-03-12,us,480758446
2017-03-12,uy,3321105
2017-03-19,ar,46910154
2017-03-19,at,6224872
2017-03-19,au,65413480
2017-03-19,be,12222358
2017-03-19,bg,302462
2017-03-19,bo,1428113
2017-03-19,br,107328771
2017-03-19,ca,77226635
2017-03-19,ch,10071458
2017-03-19,cl,37984868
2017-03-19,co,15424259
2017-03-19,cr,6647864
2017-03-19,cz,3903910
2017-03-19,de,110889558
2017-03-19,dk,32050052
2017-03-19,do,2772043
2017-03-19,ec,5085339
2017-03-19,ee,609446
2017-03-19,es,67824485
2017-03-19,fi,22889486
2017-03-19,fr,55633690
2017-03-19,gb,178897795
2017-03-19,global,1696395587
2017-03-19,gr,1099101
2017-03-19,gt,2950832
2017-03-19,hk,5715400
2017-03-19,hn,1712271
2017-03-19,hu,2879078
2017-03-19,id,20661406
2017-03-19,ie,13335438
2017-03-19,is,1748163
2017-03-19,it,37563892
2017-03-19,jp,3977333
2017-03-19,lt,758928
2017-03-19,lu,222786
2017-03-19,lv,706157
2017-03-19,mt,430831
2017-03-19,mx,115028451
2017-03-19,my,12603237
2017-03-19,ni,281037
2017-03-19,nl,83247740
2017-03-19,no,40989441
2017-03-19,nz,16588842
2017-03-19,pa,2152555
2017-03-19,pe,18338976
2017-03-19,ph,68109705
2017-03-19,pl,13785297
2017-03-19,pt,9687208
2017-03-19,py,2543113
2017-03-19,se,74846520
2017-03-19,sg,14244706
2017-03-19,sk,753719
2017-03-19,sv,1304681
2017-03-19,tr,14124989
2017-03-19,tw,8125396
2017-03-19,us,625032631
2017-03-19,uy,3256126
2017-03-26,ar,46035851
2017-03-26,at,5935317
2017-03-26,au,59028931
2017-03-26,be,11006959
2017-03-26,bg,222327
2017-03-26,bo,1433614
2017-03-26,br,108746144
2017-03-26,ca,65476921
2017-03-26,ch,9393423
2017-03-26,cl,37646662
2017-03-26,co,15643700
2017-03-26,cr,6827039
2017-03-26,cz,3809386
2017-03-26,de,108832543
2017-03-26,dk,30590483
2017-03-26,do,2679420
2017-03-26,ec,4999962
2017-03-26,ee,505476
2017-03-26,es,68675099
2017-03-26,fi,22182831
2017-03-26,fr,55132917
2017-03-26,gb,156519589
2017-03-26,global,1529297377
2017-03-26,gr,941210
2017-03-26,gt,3091855
2017-03-26,hk,5627558
2017-03-26,hn,1821622
2017-03-26,hu,2692082
2017-03-26,id,20003111
2017-03-26,ie,12342077
2017-03-26,is,1526390
2017-03-26,it,36847408
2017-03-26,jp,4080066
2017-03-26,lt,685062
2017-03-26,lu,239916
2017-03-26,lv,626587
2017-03-26,mt,401355
2017-03-26,mx,118606142
2017-03-26,my,11866004
2017-03-26,ni,284361
2017-03-26,nl,72826614
2017-03-26,no,40163063
2017-03-26,nz,15369991
2017-03-26,pa,2160527
2017-03-26,pe,18988231
2017-03-26,ph,65534824
2017-03-26,pl,13217293
2017-03-26,pt,9030380
2017-03-26,py,2458289
2017-03-26,se,68795434
2017-03-26,sg,14213234
2017-03-26,sk,716798
2017-03-26,sv,1352706
2017-03-26,tr,14150017
2017-03-26,tw,8062608
2017-03-26,us,534648828
2017-03-26,uy,3302428
2017-04-02,ar,45655392
2017-04-02,at,5901265
2017-04-02,au,58111153
2017-04-02,be,10770340
2017-04-02,bg,207711
2017-04-02,bo,1449098
2017-04-02,br,107446674
2017-04-02,ca,63228399
2017-04-02,ch,9047370
2017-04-02,cl,37339746
2017-04-02,co,15753137
2017-04-02,cr,6768961
2017-04-02,cz,3690324
2017-04-02,de,106449815
2017-04-02,dk,30856285
2017-04-02,do,2625076
2017-04-02,ec,4924506
2017-04-02,ee,510525
2017-04-02,es,69764703
2017-04-02,fi,21725752
2017-04-02,fr,56664258
2017-04-02,gb,149570977
2017-04-02,global,1481257873
2017-04-02,gr,906124
2017-04-02,gt,3067863
2017-04-02,hk,5444891
2017-04-02,hn,1838149
2017-04-02,hu,2592776
2017-04-02,id,20964173
2017-04-02,ie,11986757
2017-04-02,is,1338131
2017-04-02,it,36465663
2017-04-02,jp,4154124
2017-04-02,lt,647032
2017-04-02,lu,237781
2017-04-02,lv,587947
2017-04-02,mt,396355
2017-04-02,mx,116894567
2017-04-02,my,11731394
2017-04-02,ni,301940
2017-04-02,nl,69023075
2017-04-02,no,40487130
2017-04-02,nz,14948094
2017-04-02,pa,2169563
2017-04-02,pe,19273290
2017-04-02,ph,64291686
2017-04-02,pl,12900144
2017-04-02,pt,9201627
2017-04-02,py,2516855
2017-04-02,se,64042942
2017-04-02,sg,14309000
2017-04-02,sk,671739
2017-04-02,sv,1392138
2017-04-02,tr,14204190
2017-04-02,tw,7675822
2017-04-02,us,515868024
2017-04-02,uy,3375282
2017-04-09,ar,44772246
2017-04-09,at,5893873
2017-04-09,au,56556774
2017-04-09,be,10673397
2017-04-09,bg,220054
2017-04-09,bo,1351359
2017-04-09,br,107810240
2017-04-09,ca,63646846
2017-04-09,ch,8950994
2017-04-09,cl,36672314
2017-04-09,co,13861963
2017-04-09,cr,5995130
2017-04-09,cz,3669849
2017-04-09,de,108815275
2017-04-09,dk,28945829
2017-04-09,do,2707316
2017-04-09,ec,5002903
2017-04-09,ee,607282
2017-04-09,es,66461977
2017-04-09,fi,21263856
2017-04-09,fr,53790809
2017-04-09,gb,144581670
2017-04-09,global,1489894891
2017-04-09,gr,988079
2017-04-09,gt,2678648
2017-04-09,hk,5334469
2017-04-09,hn,1739091
2017-04-09,hu,2589036
2017-04-09,id,20604736
2017-04-09,ie,12730629
2017-04-09,is,1261266
2017-04-09,it,37319443
2017-04-09,jp,4164536
2017-04-09,lt,733679
2017-04-09,lu,210449
2017-04-09,lv,602841
2017-04-09,mt,408763
2017-04-09,mx,109493456
2017-04-09,my,11653289
2017-04-09,ni,287861
2017-04-09,nl,66694954
2017-04-09,no,35998274
2017-04-09,nz,14854328
2017-04-09,pa,2085012
2017-04-09,pe,18638627
2017-04-09,ph,57459525
2017-04-09,pl,13297806
2017-04-09,pt,8783754
2017-04-09,py,2390638
2017-04-09,se,61359075
2017-04-09,sg,13523599
2017-04-09,sk,683278
2017-04-09,sv,1247548
2017-04-09,tr,14200618
2017-04-09,tw,8960811
2017-04-09,us,552515791
2017-04-09,uy,2904630
2017-04-16,ar,47630680
2017-04-16,at,5593692
2017-04-16,au,57537472
2017-04-16,be,10000773
2017-04-16,bg,240678
2017-04-16,bo,1444034
2017-04-16,br,113365847
2017-04-16,ca,64253253
2017-04-16,ch,8606415
2017-04-16,cl,37091825
2017-04-16,co,15465548
2017-04-16,cr,6634315
2017-04-16,cz,3467061
2017-04-16,de,104823308
2017-04-16,dk,28593186
2017-04-16,do,2520065
2017-04-16,ec,5331009
2017-04-16,ee,605300
2017-04-16,es,66381711
2017-04-16,fi,21848066
2017-04-16,fr,50890251
2017-04-16,gb,138114698
2017-04-16,global,1544839580
2017-04-16,gr,950015
2017-04-16,gt,3074286
2017-04-16,hk,5451901
2017-04-16,hn,1755321
2017-04-16,hu,2391386
2017-04-16,id,20545604
2017-04-16,ie,12121609
2017-04-16,is,1345146
2017-04-16,it,34670115
2017-04-16,jp,4091203
2017-04-16,lt,693924
2017-04-16,lu,185061
2017-04-16,lv,674949
2017-04-16,mt,417053
2017-04-16,mx,120662273
2017-04-16,my,11673907
2017-04-16,ni,311383
2017-04-16,nl,63532225
2017-04-16,no,39659205
2017-04-16,nz,14958680
2017-04-16,pa,2135569
2017-04-16,pe,19574630
2017-04-16,ph,60666158
2017-04-16,pl,12558884
2017-04-16,pt,8827983
2017-04-16,py,2442128
2017-04-16,se,60586098
2017-04-16,sg,13809032
2017-04-16,sk,669682
2017-04-16,sv,1375216
2017-04-16,tr,14153577
2017-04-16,tw,8403131
2017-04-16,us,587435166
2017-04-16,uy,3052780
2017-04-23,ar,48255492
2017-04-23,at,5834484
2017-04-23,au,55675497
2017-04-23,be,10291244
2017-04-23,bg,194019
2017-04-23,bo,1523628
2017-04-23,br,113246451
2017-04-23,ca,62929368
2017-04-23,ch,8885524
2017-04-23,cl,37455118
2017-04-23,co,16135708
2017-04-23,cr,6827757
2017-04-23,cz,3640947
2017-04-23,de,105674793
2017-04-23,dk,29268713
2017-04-23,do,2639894
2017-04-23,ec,5616559
2017-04-23,ee,531382
2017-04-23,es,66920588
2017-04-23,fi,24698739
2017-04-23,fr,53622624
2017-04-23,gb,136975172
2017-04-23,global,1519531660
2017-04-23,gr,968809
2017-04-23,gt,3390861
2017-04-23,hk,5583759
2017-04-23,hn,1891423
2017-04-23,hu,2648467
2017-04-23,id,20860983
2017-04-23,ie,11436154
2017-04-23,is,1596957
2017-04-23,it,34659209
2017-04-23,jp,4304680
2017-04-23,lt,652524
2017-04-23,lu,207005
2017-04-23,lv,636050
2017-04-23,mt,435536
2017-04-23,mx,124052281
2017-04-23,my,11742370
2017-04-23,ni,346644
2017-04-23,nl,60602009
2017-04-23,no,42099774
2017-04-23,nz,14389938
2017-04-23,pa,2252029
2017-04-23,pe,20003809
2017-04-23,ph,59857892
2017-04-23,pl,13022862
2017-04-23,pt,8354346
2017-04-23,py,2554903
2017-04-23,se,64093428
2017-04-23,sg,14317730
2017-04-23,sk,714381
2017-04-23,sv,1445033
2017-04-23,tr,14862103
2017-04-23,tw,8184136
2017-04-23,us,557815664
2017-04-23,uy,3043025
2017-04-30,ar,50308975
2017-04-30,at,5892671
2017-04-30,au,57147288
2017-04-30,be,10849191
2017-04-30,bg,188888
2017-04-30,bo,1626236
2017-04-30,br,114848043
2017-04-30,ca,61355221
2017-04-30,ch,9084931
2017-04-30,cl,38122885
2017-04-30,co,15932865
2017-04-30,cr,6571978
2017-04-30,cz,3621538
2017-04-30,de,108881145
2017-04-30,dk,31425873
2017-04-30,do,2690126
2017-04-30,ec,5808441
2017-04-30,ee,528812
2017-04-30,es,67666062
2017-04-30,fi,26172725
2017-04-30,fr,60607712
2017-04-30,gb,137760483
2017-04-30,global,1527416841
2017-04-30,gr,1026110
2017-04-30,gt,3382031
2017-04-30,hk,5487925
2017-04-30,hn,1939055
2017-04-30,hu,2573880
2017-04-30,id,22004360
2017-04-30,ie,11970282
2017-04-30,is,1820938
2017-04-30,it,35760294
2017-04-30,jp,4591798
2017-04-30,lt,646181
2017-04-30,lu,200333
2017-04-30,lv,585155
2017-04-30,mt,462656
2017-04-30,mx,124719057
2017-04-30,my,11874366
2017-04-30,ni,358418
2017-04-30,nl,62142007
2017-04-30,no,45128089
2017-04-30,nz,14467894
2017-04-30,pa,2260647
2017-04-30,pe,20111448
2017-04-30,ph,59350088
2017-04-30,pl,12617017
2017-04-30,pt,8353742
2017-04-30,py,2788142
2017-04-30,se,69214046
2017-04-30,sg,14121400
2017-04-30,sk,665933
2017-04-30,sv,1511741
2017-04-30,tr,15000133
2017-04-30,tw,8077048
2017-04-30,us,559626581
2017-04-30,uy,3328522
2017-05-07,ar,48970083
2017-05-07,at,5957329
2017-05-07,au,58487208
2017-05-07,be,10707364
2017-05-07,bg,193876
