id,"collection_date","movie_id","url","imdb_code","title","year","rating","runtime","genres","language","mpa_rating","download_count","like_count","rt_critics_score","rt_critics_rating","rt_audience_score","rt_audience_rating","date_uploaded","t_url_1","t_has_1","t_quality_1","t_resolution_1","t_framerate_1","t_seeds_1","t_peers_1","t_size_1","t_download_count_1","t_date_uploaded_1","t_url_2","t_has_2","t_quality_2","t_resolution_2","t_framerate_2","t_seeds_2","t_peers_2","t_size_2","t_download_count_2","t_date_uploaded_2","director_name","actors"
58771,"2015-10-20",11,"https://yts.to/movie/harry-potter-and-the-sorcerers-stone-2001","tt0241527","Harry Potter and the Sorcerer's Stone",2001,7.5,152,"Adventure,Family","English","TV-PG",421510,435,80,"Certified Fresh",82,"Upright","2011-08-02 22:09:37","https://yts.to/torrent/download/C483A8C04C800EB55EF652CAB3439F0D55DB475C.torrent","C483A8C04C800EB55EF652CAB3439F0D55DB475C","720p","1280*528",23.976,218,77,"550.00 MB",291076,"2011-08-02 22:09:37","https://yts.to/torrent/download/B47882A62EEDEC7767AA86B7A866F1DD846C5357.torrent","B47882A62EEDEC7767AA86B7A866F1DD846C5357","1080p","1920*796",23.976,365,117,"1.17 GB",317835,"2012-06-27 07:37:27","Chris Columbus","Daniel Radcliffe, Rupert Grint, Richard Harris, Maggie Smith"
58772,"2015-10-20",12,"https://yts.to/movie/harry-potter-and-the-chamber-of-secrets-2002","tt0295297","Harry Potter and the Chamber of Secrets",2002,7.3,161,"Adventure,Family","English","TV-PG",390485,392,82,"Certified Fresh",79,"Upright","2011-08-21 12:26:05","https://yts.to/torrent/download/B6DC52BD753674B57B143A515CD871B5027F0522.torrent","B6DC52BD753674B57B143A515CD871B5027F0522","720p","1280*528",23.976,179,69,"600.00 MB",272756,"2011-08-21 12:26:05","https://yts.to/torrent/download/8D172817F4B39A12B07F64DFA2F3544B89772635.torrent","8D172817F4B39A12B07F64DFA2F3544B89772635","1080p","1920*800",23.976,365,126,"2.05 GB",299476,"2012-06-24 19:18:05","Chris Columbus","Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris"
58773,"2015-10-20",13,"https://yts.to/movie/harry-potter-and-the-prisoner-of-azkaban-2004","tt0304141","Harry Potter and the Prisoner of Azkaban",2004,7.8,142,"Adventure,Family","English","PG",365996,362,91,"Certified Fresh",86,"Upright","2011-08-15 00:50:15","https://yts.to/torrent/download/C0F96FE1D7F1CC6C33DC3233615B1EFB76DC4B70.torrent","C0F96FE1D7F1CC6C33DC3233615B1EFB76DC4B70","720p","1280*528",23.976,175,51,"550.00 MB",260429,"2011-08-15 00:50:15","https://yts.to/torrent/download/D56E0047693475C7809D22577419B3506A1A10CF.torrent","D56E0047693475C7809D22577419B3506A1A10CF","1080p","1920*796",23.976,343,123,"1.86 GB",280719,"2012-06-27 07:41:49","Alfonso Cuaron","Daniel Radcliffe, Emma Watson, Rupert Grint, Richard Griffiths"
58774,"2015-10-20",14,"https://yts.to/movie/harry-potter-and-the-goblet-of-fire-2005","tt0330373","Harry Potter and the Goblet of Fire",2005,7.6,157,"Adventure,Family","English","PG-13",369546,368,88,"Certified Fresh",74,"Upright","2011-08-02 22:08:30","https://yts.to/torrent/download/1FFC246E37E945A5D88D2D0D43F7B590F5BA02F7.torrent","1FFC246E37E945A5D88D2D0D43F7B590F5BA02F7","720p","1280*528",23.976,159,72,"600.00 MB",263896,"2011-08-02 22:08:30","https://yts.to/torrent/download/196CFBE40F9AFA8866681AD5E73D159F50C580AA.torrent","196CFBE40F9AFA8866681AD5E73D159F50C580AA","1080p","1920*798",23.976,383,113,"2.10 GB",285207,"2012-06-24 19:22:22","Mike Newell","Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes"
58775,"2015-10-20",15,"https://yts.to/movie/harry-potter-and-the-order-of-the-phoenix-2007","tt0373889","Harry Potter and the Order of the Phoenix",2007,7.5,138,"Adventure,Family","English","PG-13",381683,366,79,"Certified Fresh",81,"Upright","2011-08-02 22:08:37","https://yts.to/torrent/download/9FB3221627DC4D437A8FDB6829258EB5C83A2FE5.torrent","9FB3221627DC4D437A8FDB6829258EB5C83A2FE5","720p","1280*528",23.976,183,64,"550.00 MB",257776,"2011-08-02 22:08:37","https://yts.to/torrent/download/47B8246D2245615B754CC2F023F3AC646B9DEE6F.torrent","47B8246D2245615B754CC2F023F3AC646B9DEE6F","1080p","1920*796",23.976,382,118,"1.85 GB",305527,"2012-06-25 12:31:25","David Yates","Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson"
58776,"2015-10-20",16,"https://yts.to/movie/harry-potter-and-the-half-blood-prince-2009","tt0417741","Harry Potter and the Half-Blood Prince",2009,7.5,153,"Adventure,Family","English","PG",399639,386,84,"Certified Fresh",77,"Upright","2011-08-02 22:08:33","https://yts.to/torrent/download/A3FE0AB5EC6AEB66EC955202998933E9C239AE1B.torrent","A3FE0AB5EC6AEB66EC955202998933E9C239AE1B","720p","1280*528",23.976,195,84,"650.00 MB",281065,"2011-08-02 22:08:33","https://yts.to/torrent/download/661F29D8B536AE69919BC96FAFFF553D4A698460.torrent","661F29D8B536AE69919BC96FAFFF553D4A698460","1080p","1920*800",23.976,465,127,"2.00 GB",310126,"2012-06-24 19:24:47","David Yates","Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon"
58777,"2015-10-20",17,"https://yts.to/movie/harry-potter-and-the-deathly-hallows-part-1-2010","tt0926084","Harry Potter and the Deathly Hallows: Part 1",2010,7.7,146,"Adventure,Family","English","PG-13",446111,462,78,"Certified Fresh",85,"Upright","2011-08-02 22:07:29","https://yts.to/torrent/download/33BC7EAA9763181EB7E77AF08674D2055ACEB908.torrent","33BC7EAA9763181EB7E77AF08674D2055ACEB908","720p","1280*528",23.976,436,118,"998.56 MB",317240,"2011-08-02 22:07:29","https://yts.to/torrent/download/E2FA0B7873AC4D5078C189C99C248B577D21521D.torrent","E2FA0B7873AC4D5078C189C99C248B577D21521D","1080p","1920*800",23.976,122,90,"2.00 GB",316900,"2012-06-29 15:29:38","David Yates","Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy"
58778,"2015-10-20",18,"https://yts.to/movie/the-insider-1999","tt0140352","The Insider",1999,7.9,157,"Biography,Drama","English","R",137105,133,96,"Certified Fresh",90,"Upright","2011-08-05 02:00:30","https://yts.to/torrent/download/B5D813ED4D8BAE8E8EE49A30C2C5616506408016.torrent","B5D813ED4D8BAE8E8EE49A30C2C5616506408016","720p","1280*720",23.976,75,8,"649.25 MB",137105,"2011-08-05 02:00:30","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Michael Mann","Russell Crowe, Al Pacino, Christopher Plummer, Diane Venora"
58779,"2015-10-20",19,"https://yts.to/movie/the-crazies-2010","tt0455407","The Crazies",2010,6.6,101,"Horror,Mystery","English","R",113906,120,71,"Fresh",56,"Spilled","2011-08-05 01:59:43","https://yts.to/torrent/download/D45242E06C216141306F4B1C0319D23C536B6716.torrent","D45242E06C216141306F4B1C0319D23C536B6716","720p","1280*536",23.976,50,3,"448.93 MB",113906,"2011-08-05 01:59:43","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Breck Eisner","Radha Mitchell, Timothy Olyphant, Danielle Panabaker, Joe Anderson"
58780,"2015-10-20",20,"https://yts.to/movie/body-of-lies-2008","tt0758774","Body of Lies",2008,7.1,128,"Action,Drama","English","R",221661,202,54,"Rotten",62,"Upright","2011-08-05 01:59:51","https://yts.to/torrent/download/70CF27632E9A73A90160CE44D4CBFD6EF15C537D.torrent","70CF27632E9A73A90160CE44D4CBFD6EF15C537D","720p","1280*544",23.976,58,15,"522.13 MB",170934,"2011-08-05 01:59:51","https://yts.to/torrent/download/E0373E6456AEAE4D60FB2D74340CF46BAB8B3C84.torrent","E0373E6456AEAE4D60FB2D74340CF46BAB8B3C84","1080p","1920*800",23.976,138,17,"1.95 GB",50727,"2015-03-13 08:58:53","Ridley Scott","Leonardo DiCaprio, Russell Crowe, Mark Strong, Golshifteh Farahani"
58781,"2015-10-20",21,"https://yts.to/movie/solomon-kane-2009","tt0970452","Solomon Kane",2009,6.1,104,"Action,Adventure","English","R",160904,133,66,"Fresh",49,"Spilled","2011-08-05 02:20:40","https://yts.to/torrent/download/A50B687898388ABF697DE78839CE46EF568D974A.torrent","A50B687898388ABF697DE78839CE46EF568D974A","720p","1280*544",23.976,62,11,"449.37 MB",160904,"2011-08-05 02:20:40","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Michael J. Bassett","James Purefoy, Max von Sydow, Rachel Hurd-Wood, Pete Postlethwaite"
58782,"2015-10-20",22,"https://yts.to/movie/the-losers-2010","tt0480255","The Losers",2010,6.4,97,"Action,Crime","English","PG-13",109853,118,49,"Rotten",54,"Spilled","2011-08-14 22:20:42","https://yts.to/torrent/download/7C5E4172EAC1BB0900AAF5D3112642B01BA0C635.torrent","7C5E4172EAC1BB0900AAF5D3112642B01BA0C635","720p","1280*534",23.976,64,17,"453.18 MB",109853,"2011-08-14 22:20:42","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Sylvain White","Idris Elba, Zoe Saldana, Jeffrey Dean Morgan, Chris Evans"
58783,"2015-10-20",23,"https://yts.to/movie/kites-2010","tt1198101","Kites",2010,6,123,"Action,Drama","English","M",50039,102,82,"Fresh",51,"Spilled","2011-08-07 12:56:08","https://yts.to/torrent/download/B49B7D602E5E9F101B9B9D46E9E500D851E34EAD.torrent","B49B7D602E5E9F101B9B9D46E9E500D851E34EAD","720p","1280*544",23.976,34,14,"553.48 MB",50039,"2011-08-07 12:56:08","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Anurag Basu","Hrithik Roshan, Barbara Mori, Steven Michael Quezada, Kangana Ranaut"
58784,"2015-10-20",24,"https://yts.to/movie/repo-men-2010","tt1053424","Repo Men",2010,6.3,119,"Action,Crime","English","R",108199,126,22,"Rotten",41,"Spilled","2011-08-07 13:04:26","https://yts.to/torrent/download/C44F04400DF012946B453E8A73F20E4DA44AF416.torrent","C44F04400DF012946B453E8A73F20E4DA44AF416","720p","1280*544",23.976,23,6,"548.68 MB",84458,"2011-08-07 13:04:26","https://yts.to/torrent/download/29A937DB1EA25393946E33E2A0461D1F7776B2E0.torrent","29A937DB1EA25393946E33E2A0461D1F7776B2E0","1080p","1920*816",23.976,59,12,"1.50 GB",66581,"2012-02-13 00:37:27","Miguel Sapochnik","Jude Law, Forest Whitaker, Alice Braga, Liev Schreiber"
58785,"2015-10-20",25,"https://yts.to/movie/zodiac-2007","tt0443706","Zodiac",2007,7.7,157,"Crime,Drama","English","R",230097,331,89,"Certified Fresh",77,"Upright","2011-08-08 00:34:33","https://yts.to/torrent/download/F371B8F6B88D425806FD25BFB46AEE8FBA573B0E.torrent","F371B8F6B88D425806FD25BFB46AEE8FBA573B0E","720p","1280*544",23.976,260,34,"694.17 MB",230097,"2011-08-08 00:34:33","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","David Fincher","Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo, Anthony Edwards"
58786,"2015-10-20",26,"https://yts.to/movie/the-prestige-2006","tt0482571","The Prestige",2006,8.5,130,"Drama,Mystery","English","PG-13",427854,593,76,"Certified Fresh",92,"Upright","2011-08-08 17:42:06","https://yts.to/torrent/download/086C29D9F160B76F061011A2DB08DA1E2E393D6E.torrent","086C29D9F160B76F061011A2DB08DA1E2E393D6E","720p","1280*544",23.976,598,113,"594.91 MB",427854,"2011-08-08 17:42:06","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Christopher Nolan","Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine"
58787,"2015-10-20",27,"https://yts.to/movie/armageddon-1998","tt0120591","Armageddon",1998,6.6,153,"Action,Adventure","English","PG-13",153362,174,39,"Rotten",73,"Upright","2011-08-14 17:47:11","https://yts.to/torrent/download/0F90513AC34C36775E8C1F0352510CB6266DC87E.torrent","0F90513AC34C36775E8C1F0352510CB6266DC87E","720p","1280*720",23.976,123,18,"698.71 MB",115558,"2011-08-14 17:47:11","https://yts.to/torrent/download/64962623F6A161302220AB7829BA08DC5AD040B8.torrent","64962623F6A161302220AB7829BA08DC5AD040B8","1080p","1920*800",23.976,117,24,"2.00 GB",111345,"2012-07-28 20:53:56","Michael Bay","Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler"
58788,"2015-10-20",28,"https://yts.to/movie/robin-hood-2010","tt0955308","Robin Hood",2010,6.7,140,"Action,Adventure","English","PG-13",210751,226,43,"Rotten",58,"Spilled","2011-08-09 03:55:22","https://yts.to/torrent/download/B97B84D7BF0E1C110C3EFDEDA14F6C04D620F2F3.torrent","B97B84D7BF0E1C110C3EFDEDA14F6C04D620F2F3","720p","1280*536",23.976,122,26,"847.96 MB",210751,"2011-08-09 03:55:22","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Ridley Scott","Russell Crowe, Cate Blanchett, Matthew Macfadyen, Max von Sydow"
58789,"2015-10-20",29,"https://yts.to/movie/iron-man-2-2010","tt1228705","Iron Man 2",2010,7.1,124,"Action,Adventure","English","PG-13",401635,510,72,"Certified Fresh",72,"Upright","2011-08-14 23:16:09","https://yts.to/torrent/download/5BBBEEA6265E3C934AD7D657D5C5D5BC49DD6C87.torrent","5BBBEEA6265E3C934AD7D657D5C5D5BC49DD6C87","720p","1280*544",23.976,148,35,"698.59 MB",304640,"2011-08-14 23:16:09","https://yts.to/torrent/download/B550A0A32B0749ABFADB8EB0736F03D271E876E0.torrent","B550A0A32B0749ABFADB8EB0736F03D271E876E0","1080p","1920*816",23.976,368,80,"1.60 GB",341682,"2012-05-30 15:08:15","Jon Favreau","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle"
58790,"2015-10-20",30,"https://yts.to/movie/the-wrestler-2008","tt1125849","The Wrestler",2008,7.9,109,"Drama,Sport","English","R",111573,132,98,"Certified Fresh",88,"Upright","2011-08-14 17:32:05","https://yts.to/torrent/download/4F9983EC4AA307BABC47269B5FCFEF8E5418E6AA.torrent","4F9983EC4AA307BABC47269B5FCFEF8E5418E6AA","720p","1280*528",23.976,30,5,"394.59 MB",111573,"2011-08-14 17:32:05","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Darren Aronofsky","Mickey Rourke, Marisa Tomei, Evan Rachel Wood, Mark Margolis"
58791,"2015-10-20",31,"https://yts.to/movie/the-da-vinci-code-2006","tt0382625","The Da Vinci Code",2006,6.5,149,"Mystery,Thriller","English","PG-13",260155,288,25,"Rotten",57,"Spilled","2011-08-12 22:10:33","https://yts.to/torrent/download/5FD6283B6CFD6565A9D7FBA5943038EB6C709791.torrent","5FD6283B6CFD6565A9D7FBA5943038EB6C709791","720p","1280*528",23.976,199,47,"847.81 MB",260155,"2011-08-12 22:10:33","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Ron Howard","Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen"
58792,"2015-10-20",32,"https://yts.to/movie/21-2008","tt0478087","21",2008,6.8,123,"Action,Biography","English","PG-13",157749,151,36,"Rotten",66,"Upright","2011-08-12 22:10:34","https://yts.to/torrent/download/5F12DF2DEE2297D159CDAD47F8FA729268ED1821.torrent","5F12DF2DEE2297D159CDAD47F8FA729268ED1821","720p","1280*536",23.976,134,21,"552.17 MB",157749,"2011-08-12 22:10:34","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Robert Luketic","Jim Sturgess, Kate Bosworth, Kevin Spacey, Aaron Yoo"
58793,"2015-10-20",33,"https://yts.to/movie/bee-movie-2007","tt0389790","Bee Movie",2007,6.2,91,"Animation,Adventure","English","PG",166822,111,51,"Rotten",53,"Spilled","2011-08-12 22:10:40","https://yts.to/torrent/download/A6CEFFEE82E44587B3A1ED9727C2028F77E6E6BE.torrent","A6CEFFEE82E44587B3A1ED9727C2028F77E6E6BE","720p","1280*720",23.976,76,19,"348.48 MB",166822,"2011-08-12 22:10:40","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Steve Hickner, Simon J. Smith","Jerry Seinfeld, Renee Zellweger, Matthew Broderick, Patrick Warburton"
58794,"2015-10-20",34,"https://yts.to/movie/the-chronicles-of-riddick-2004","tt0296572","The Chronicles of Riddick",2004,6.7,134,"Action,Adventure","English","Unrated",234999,298,29,"Rotten",65,"Upright","2011-08-12 22:10:41","https://yts.to/torrent/download/720E1916F80C9D5C801480361464CE9282768016.torrent","720E1916F80C9D5C801480361464CE9282768016","720p","1280*544",23.976,93,12,"598.42 MB",234999,"2011-08-12 22:10:41","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","David Twohy","Vin Diesel, Judi Dench, Colm Feore, Thandie Newton"
58795,"2015-10-20",35,"https://yts.to/movie/machete-2010","tt0985694","Machete",2010,6.7,105,"Action,Crime","English","R",130771,139,72,"Certified Fresh",64,"Upright","2011-08-12 22:10:42","https://yts.to/torrent/download/B180F5D1A818435DFF837537BDD16543288CAA2C.torrent","B180F5D1A818435DFF837537BDD16543288CAA2C","720p","1280*720",23.976,40,6,"574.37 MB",130771,"2011-08-12 22:10:42","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Ethan Maniquis, Robert Rodriguez","Danny Trejo, Michelle Rodriguez, Robert De Niro, Jessica Alba"
58796,"2015-10-20",36,"https://yts.to/movie/pitch-black-2000","tt0134847","Pitch Black",2000,7.1,112,"Action,Horror","English","R",174553,280,57,"Rotten",77,"Upright","2011-08-12 22:10:42","https://yts.to/torrent/download/EBE2F57895140F6B8C43BA7E3AC00600E0AC60A1.torrent","EBE2F57895140F6B8C43BA7E3AC00600E0AC60A1","720p","1280*544",23.976,34,11,"546.96 MB",143714,"2011-08-12 22:10:42","https://yts.to/torrent/download/C98DF0A52102C912F815EA92F5411082B7676DA3.torrent","C98DF0A52102C912F815EA92F5411082B7676DA3","1080p","1920*816",23.976,67,10,"1.60 GB",121885,"2012-07-15 13:27:10","David Twohy","Radha Mitchell, Cole Hauser, Vin Diesel, Keith David"
58797,"2015-10-20",37,"https://yts.to/movie/the-love-guru-2008","tt0811138","The Love Guru",2008,3.8,87,"Comedy,Romance","English","PG-13",71444,57,14,"Rotten",33,"Spilled","2011-08-12 22:10:43","https://yts.to/torrent/download/65DCFB9BDDDB7B07CA3E9591B557497968D14AB3.torrent","65DCFB9BDDDB7B07CA3E9591B557497968D14AB3","720p","1280*536",23.976,43,5,"497.09 MB",71444,"2011-08-12 22:10:43","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Marco Schnabel","Mike Myers, Jessica Alba, Romany Malco, Jessica Simpson"
58798,"2015-10-20",38,"https://yts.to/movie/troy-2004","tt0332452","Troy",2004,7.2,163,"Adventure","English","R",288135,370,54,"Rotten",73,"Upright","2011-08-12 22:10:50","https://yts.to/torrent/download/8EACA075D467A373B871DFF7B9B694EA532B6A43.torrent","8EACA075D467A373B871DFF7B9B694EA532B6A43","720p","1280*528",23.976,351,69,"798.65 MB",288135,"2011-08-12 22:10:50","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Wolfgang Petersen","Brad Pitt, Eric Bana, Orlando Bloom, Julian Glover"
58799,"2015-10-20",39,"https://yts.to/movie/chicago-2002","tt0299658","Chicago",2002,7.2,113,"Comedy,Crime","English","PG-13",78450,74,86,"Certified Fresh",83,"Upright","2011-08-12 22:10:50","https://yts.to/torrent/download/F86DE694E9011D927719C6EF0DF7012BBB1A5E62.torrent","F86DE694E9011D927719C6EF0DF7012BBB1A5E62","720p","1280*688",23.976,68,10,"695.61 MB",78450,"2011-08-12 22:10:50","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Rob Marshall","Renee Zellweger, Catherine Zeta-Jones, Richard Gere, Taye Diggs"
58800,"2015-10-20",40,"https://yts.to/movie/predators-2010","tt1424381","Predators",2010,6.4,107,"Action,Adventure","English","R",178697,175,64,"Fresh",52,"Spilled","2011-08-12 22:10:52","https://yts.to/torrent/download/46E02CFC06BBDC66623C3CC39C27A2E198C23777.torrent","46E02CFC06BBDC66623C3CC39C27A2E198C23777","720p","1280*544",23.976,85,9,"548.46 MB",178697,"2011-08-12 22:10:52","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Nimrod Antal","Adrien Brody, Laurence Fishburne, Topher Grace, Alice Braga"
